PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
0,0,0,0,0,0,0
1,9.373134613,1.94678998,-0.930490792,-5.090653419,-1.233392596,0.513605177
2,9.420461655,1.839247227,-0.980781734,-3.944150925,-1.729804993,0.103097521
3,9.465731621,1.855238557,-0.987528563,-1.773077488,-2.371991873,0.177361533
4,9.448662758,1.89419508,-0.895512462,0.257593304,-3.484261751,0.023749374
5,9.396608353,1.981548309,-0.829980552,1.126158357,-5.108952999,0.063986927
6,9.37957859,1.993613124,-0.532091439,-0.178917542,-7.805920124,0.987606645
7,9.40699482,1.879037619,-1.04301703,-3.843738079,-11.43575478,2.045642376
8,9.443172455,1.968735576,-1.184169054,-2.539614916,-8.646759033,1.71519959
9,9.540361404,2.037909031,-1.062252283,-1.369588017,-8.117536545,1.711075902
10,9.502082825,2.063543558,-1.049767971,-1.514235854,-7.128514767,1.845209599
11,9.498440742,1.993941426,-0.951957285,-1.206960201,-5.806296825,1.909753561
12,9.553518295,1.974648714,-0.888112068,-1.32349813,-4.790536404,1.889455795
13,9.590872765,2.063900471,-0.877073944,-0.9663288,-4.176893711,1.75030148
14,9.642115593,2.100102663,-0.865538239,-2.36753583,-4.041941166,2.467073441
15,9.594531059,2.084538221,-0.973194003,-3.790846348,-4.972398758,2.799692392
16,9.528598785,2.001992702,-0.934345841,-4.34543848,-5.591457844,2.638767958
17,9.515990257,1.821958899,-0.993493736,-4.584738255,-6.183892727,2.412569523
18,9.527536392,1.751268148,-1.044559479,-3.789783955,-6.966527462,2.132661104
19,9.511968613,1.72674942,-1.166235924,-3.384501457,-8.904847145,2.189291
20,9.407388687,1.794588685,-1.22835505,-1.01838696,-10.83858013,1.968432784
21,9.436510086,1.829696536,-1.415821075,0.353448987,-10.64670467,1.237753391
22,9.474235535,2.004543781,-1.343481898,1.766335487,-9.03246212,0.551563263
23,9.47663784,2.144207954,-1.268918395,0.931105137,-7.874140263,0.402343631
