PacketCounter,Left_Hip,Right_Hip
1800,-57.25853348,-42.09640121
1801,-56.78995895,-42.80296707
1802,-56.19107819,-43.2989006
1803,-55.57590866,-43.5261116
1804,-55.03809357,-43.63228607
1805,-54.72394943,-43.85684967
1806,-54.58913422,-44.26187897
1807,-54.52804565,-44.80501938
1808,-54.44818497,-45.32744598
1809,-54.28249741,-45.67491531
1810,-54.0180397,-45.88101578
1811,-53.64200592,-45.96095657
1812,-53.30884933,-46.17449951
1813,-53.11778641,-46.43972778
1814,-53.02089691,-46.76451111
1815,-52.84723282,-47.05162811
1816,-52.56710434,-47.12643433
1817,-52.20256424,-47.07103729
1818,-51.67298126,-46.96945572
1819,-51.02682114,-46.95065689
1820,-50.20783615,-47.22177887
1821,-49.29879379,-47.28926086
1822,-48.51504517,-46.74625015
1823,-47.72914505,-45.53105164
1824,-46.76966095,-43.93917465
1825,-45.45459366,-42.48067474
1826,-43.59224701,-41.23103333
1827,-41.38956833,-39.83331299
1828,-38.65719604,-38.02084351
1829,-35.3506546,-35.92617416
1830,-31.57082176,-33.70366669
1831,-27.55369568,-31.42386627
1832,-23.60685921,-29.02606392
1833,-20.17668533,-26.44974327
1834,-17.140522,-24.41209221
1835,-14.22056866,-23.06220055
1836,-10.98064899,-22.76796532
1837,-6.957890511,-23.02579689
1838,-2.364444971,-19.90171242
1839,1.980893373,-16.114048
1840,4.978744507,-14.5511446
1841,6.609945297,-10.29189491
1842,7.123989582,-6.544493198
1843,7.129055023,-2.569329739
1844,7.081027985,-0.588202298
1845,6.548842907,0.461417556
1846,5.426700115,0.59887588
1847,4.08220005,0.211428985
1848,3.090794802,-0.830995917
1849,2.498320103,-2.445576906
1850,2.589704275,-3.287144423
1851,2.692205429,-3.110151768
1852,3.130090714,-2.256871939
1853,3.196299076,-1.97238791
1854,3.105172396,-1.730894446
1855,3.106938124,-1.846246958
1856,2.999466896,-1.589957118
1857,2.945847034,-1.693756223
1858,3.176135302,-1.622880936
1859,3.353604555,-1.305901051
1860,3.621161461,-0.410683125
1861,3.794174433,0.309698105
1862,3.939546347,0.749335825
1863,4.080411434,0.979447722
1864,4.377175331,0.934042811
1865,4.7388587,0.806562722
1866,5.210292339,0.5796808
1867,5.692844391,0.258172631
1868,6.149585247,0.43750304
1869,6.77117157,0.464226633
1870,7.486835003,0.362794787
1871,8.294298172,0.482084692
1872,9.146684647,0.965891242
1873,10.03038883,2.037102461
1874,11.09346676,2.954967022
1875,12.31289196,3.84756732
1876,13.53085804,4.974870682
1877,14.86797333,6.396232128
1878,16.30448723,7.804665089
1879,17.32941628,8.856319427
1880,18.498909,9.579287529
1881,19.69233131,10.31320381
1882,20.72257614,11.15984249
1883,21.45387077,11.74425507
1884,21.8253727,12.28541851
1885,21.7448597,12.87270451
1886,21.06970215,13.38481903
1887,19.96182251,13.70625687
1888,18.44015694,13.68552303
1889,16.65004539,13.28282547
1890,14.55142975,12.56286907
1891,11.9607563,11.82311726
1892,8.722384453,11.51459312
1893,4.97892046,10.7151022
1894,1.178258181,9.208434105
1895,-2.594534159,7.42580843
1896,-6.429158211,5.25137043
1897,-10.2544632,2.634032488
1898,-13.75899315,-0.274456859
1899,-16.89482117,-3.101744652
1900,-19.00979233,-6.531720638
1901,-20.30770302,-11.36283398
1902,-21.18217468,-16.98488426
1903,-21.6505661,-21.65936279
1904,-21.74404526,-25.32922745
1905,-21.664505,-27.54392624
1906,-20.56389618,-28.31043053
1907,-19.21964455,-27.00016594
1908,-18.26366997,-23.00859833
1909,-17.33317947,-19.70632744
1910,-16.48849297,-17.20413017
1911,-15.74327564,-15.44079494
1912,-14.88414001,-13.79123783
1913,-14.5095396,-12.52222347
1914,-13.82981873,-11.66948986
1915,-11.57528973,-11.89997959
1916,-8.829936028,-10.89931297
1917,-5.898690224,-7.347331047
1918,-2.19114852,-3.037162304
1919,1.835415125,0.618825555
1920,5.0413661,3.333296776
1921,7.370333195,5.345703125
1922,9.593754768,6.747465134
1923,12.07302189,8.108052254
1924,14.6029501,8.931705475
1925,16.73688698,9.821046829
1926,18.40554237,11.31507874
1927,19.23275948,12.46790695
1928,18.8829422,12.53646374
1929,18.22324944,11.96703148
1930,17.49688721,11.49917984
1931,15.58800507,11.85452366
1932,13.10587978,11.43452072
1933,10.6709938,10.54279518
1934,7.378024101,9.78215313
1935,2.939685106,8.143932343
1936,-2.007406235,5.96158123
1937,-7.648158073,3.551696539
