PacketCounter,Left_Hip,Right_Hip
449,6.436888218,9.61115265
450,5.798314571,9.40923309
451,5.568276405,9.47683144
452,5.223294258,9.53932762
453,4.21873045,9.33951759
454,3.342442036,9.15654945
455,2.566887379,9.18533897
456,1.777485609,9.36641502
457,1.468529224,9.42491341
458,1.89352572,9.30377579
459,2.275996208,9.18385887
460,2.719932795,9.10398293
461,3.281476259,8.94936371
462,3.174439192,8.75540352
463,2.416735172,8.38120651
464,1.55377841,7.87192345
465,0.164153516,7.1628685
466,-1.210423827,6.45127869
467,-2.039262295,5.78858376
468,-2.417681217,5.017416
469,-3.114299774,4.25325489
470,-3.913259268,3.42061043
471,-4.770454407,2.50470924
472,-5.423361301,1.69884014
473,-5.939502716,0.84964943
474,-6.465267658,0.04055977
475,-7.119951725,-0.779666901
476,-8.031909943,-1.834705353
477,-9.083453178,-3.040094852
478,-10.23991489,-4.473838806
479,-11.4949255,-6.257697821
480,-12.99897861,-8.450778127
481,-14.65582085,-11.0205133
482,-16.49441528,-13.87609434
483,-18.23637009,-16.81562948
484,-19.84600639,-19.5571394
485,-21.03918839,-21.57463741
486,-21.95315933,-22.96618938
487,-22.56254005,-23.85730839
488,-23.15560913,-24.60640717
489,-23.88624763,-25.43070412
490,-24.81348419,-26.04390335
491,-25.91217995,-26.34696198
492,-27.28759956,-26.40258598
493,-28.66110039,-26.40177917
494,-29.78412628,-26.64225388
495,-30.69162178,-27.1067009
496,-31.29912758,-27.6878376
497,-31.68737984,-28.16200638
498,-31.86810303,-28.35791016
499,-31.76988792,-28.15992546
500,-31.52803802,-27.69111824
501,-31.06367302,-27.06690979
502,-30.49333572,-26.59143066
503,-30.00758362,-26.44512558
504,-29.6663456,-26.06188202
505,-29.12889862,-25.32623291
506,-28.34571838,-24.31134033
507,-27.03713608,-23.0260725
508,-25.50177193,-21.53355598
509,-24.01132393,-19.93822765
510,-22.51901817,-18.34047604
511,-21.15346146,-16.96839619
512,-19.94716072,-15.98435974
513,-18.92948914,-15.16870546
514,-17.8630867,-14.38830423
515,-16.94702148,-13.87262845
516,-16.22950363,-13.33565426
517,-15.52871704,-12.65817452
518,-14.86711788,-11.91874981
519,-14.3282938,-11.24686658
520,-13.87518787,-10.90432221
521,-13.48378754,-10.72152269
522,-13.21032429,-10.70496595
523,-13.07750511,-10.80943084
524,-12.97916603,-10.80195284
525,-12.85047436,-10.85991907
526,-12.58572197,-11.08524954
527,-12.37023735,-11.3271749
528,-12.32178593,-11.47636962
529,-12.32591343,-11.45612598
530,-12.25087166,-11.27214193
531,-12.20438766,-10.99341792
532,-12.31096172,-10.80275029
533,-12.67915249,-11.19356549
534,-13.44152355,-11.97311747
535,-14.78705883,-13.07989717
536,-16.61164093,-14.43866396
537,-18.7460289,-16.08230496
538,-21.1117897,-17.90300894
539,-23.75571632,-19.80910587
540,-26.55607796,-21.92761135
541,-29.27956963,-23.89252472
542,-31.82432365,-26.19831657
543,-34.24611282,-29.52191353
544,-36.1667099,-33.59283066
545,-37.46086121,-36.74940681
546,-38.05506516,-38.72766304
547,-37.73568726,-39.43967628
548,-36.69945908,-38.84246826
549,-35.31274414,-37.02930832
550,-33.2372551,-34.04778099
551,-30.54851341,-30.90049171
552,-28.63758469,-28.70676804
553,-27.01246452,-27.5260067
554,-25.56267357,-26.779459
555,-24.19361115,-26.36277771
556,-23.03541183,-25.98008156
557,-21.9142189,-25.61791611
558,-20.6537571,-24.83623123
559,-19.54805565,-23.33952236
560,-18.87401199,-21.36611271
561,-17.85717583,-19.59302425
562,-15.62334919,-18.03473473
563,-13.29817677,-15.54324102
564,-10.60026646,-12.75324726
565,-7.800057411,-10.42463589
566,-5.244117737,-8.098165393
567,-3.089995861,-5.122267723
568,-1.09322679,-1.567094803
569,0.935246289,1.65546513
570,2.77000308,4.08708858
571,4.512592793,6.03169632
572,5.983185768,7.7316246
573,7.430866718,9.2948494
574,8.934103966,10.65017319
575,10.30381107,11.69870949
576,11.32384968,12.38109398
577,11.91564655,12.59126472
578,12.0613451,12.27854919
579,11.82835579,11.56361389
580,11.26068497,10.66104889
581,10.74210548,9.77320671
582,10.30952549,8.96463203
583,9.786662102,8.17335129
584,9.078097343,7.23945236
585,8.123462677,6.09685516
586,6.746256828,4.61692238
587,4.82501173,2.66132545
588,2.208595514,0.12843227
589,-1.300473928,-2.959760189
590,-5.936492443,-6.364083767
591,-11.10050869,-9.770806417
592,-15.40949059,-12.84358978
593,-19.04381371,-15.9031148
594,-22.72926331,-19.45885944
595,-26.16480446,-22.19753456
596,-28.22895432,-23.74487686
597,-28.83008194,-24.38966465
598,-28.68309212,-24.38293934
599,-27.41936111,-23.57059097
600,-25.79240608,-22.21760368
601,-24.40855217,-21.20309162
602,-23.46655655,-21.06259727
603,-22.98324966,-21.47129631
604,-22.84448051,-21.947155
605,-22.91549492,-22.23026466
606,-23.22352982,-22.39958382
607,-23.59633255,-22.69378567
608,-24.15153313,-23.17287922
609,-24.905653,-23.7538929
610,-25.69327927,-24.50934029
611,-26.76732063,-25.35690498
612,-28.2953434,-25.87246513
613,-29.53063393,-26.06191444
614,-29.6476078,-26.252285
615,-28.54744148,-26.03652763
616,-27.32552528,-25.30612469
617,-26.18749619,-24.35179329
618,-25.48768425,-23.24309444
619,-24.97855568,-21.99312973
620,-24.17159081,-20.67931366
621,-22.91697502,-19.3133297
622,-21.48962593,-18.15956307
623,-20.68714142,-17.0554657
624,-20.60539055,-15.55326414
625,-20.41257477,-14.3539958
626,-19.60500336,-14.14260149
627,-18.67152023,-14.26310444
628,-17.84161377,-14.12964678
629,-17.03953362,-13.90023279
630,-16.38969803,-13.74395323
631,-15.88746071,-13.87177992
632,-15.40612507,-14.142416
633,-14.9114933,-14.54321098
634,-14.48868752,-14.90904284
635,-14.19533825,-15.42149067
636,-14.00962353,-16.33696652
637,-13.99411869,-17.17971897
638,-14.11393547,-17.83535242
639,-14.31040192,-18.29372215
640,-14.50661659,-18.5078001
641,-14.68319893,-18.7249403
642,-15.01919651,-18.99190712
643,-15.71007347,-19.30380726
644,-16.92269516,-19.59825993
645,-18.88742065,-20.0875349
646,-21.5252552,-20.88760471
647,-24.27049637,-21.92186165
648,-26.81972694,-23.33132553
649,-29.17265701,-24.88733959
650,-31.51070595,-26.14489746
651,-33.83087158,-27.56351471
652,-36.22415161,-29.4234848
653,-38.76347351,-31.16676331
654,-41.03723526,-32.63507652
655,-42.64110184,-33.73332024
656,-43.22419739,-33.96640396
657,-42.72621536,-33.17943954
658,-40.95236588,-31.19708252
659,-38.46326065,-28.37252045
660,-35.34130478,-25.70177555
661,-32.52336502,-24.06071854
662,-30.38804436,-23.26083755
663,-28.31482315,-22.75928116
664,-26.11159515,-22.25267601
665,-24.39539909,-21.58931637
666,-23.32514763,-20.64266682
667,-22.67661858,-19.60128498
668,-22.4391861,-18.22807694
669,-22.65150642,-17.03271914
670,-22.4075737,-16.35724115
671,-20.05037308,-15.53957081
672,-17.14458466,-13.71794772
673,-14.23174286,-10.85086876
674,-11.26990128,-7.6988132
675,-8.29276371,-5.169371605
676,-5.500278473,-3.406188965
677,-3.036364079,-1.560163498
678,-0.941114068,0.94917393
679,0.984003782,3.52790642
680,2.935655355,5.49529648
681,4.943687439,6.92334747
682,6.819446087,8.33655167
683,8.37136364,9.86967659
684,9.635440826,11.238657
685,10.56317425,12.16120911
686,11.07853603,12.52411079
687,10.974823,12.29331017
688,10.13540459,11.69112587
689,8.966787338,10.86766624
690,7.867588997,9.58138847
691,6.670306206,7.87358093
692,5.199534893,5.94351959
693,3.196305037,4.03823471
694,0.599816382,1.99042416
695,-2.895077229,-0.718951225
696,-7.146288395,-4.076357365
697,-11.755373,-7.540074825
698,-16.43885422,-10.88901383
699,-21.44864273,-14.44040108
700,-26.19613266,-18.46250248
701,-30.16910362,-22.42426395
702,-33.1561203,-25.28855705
703,-34.8439064,-27.15991592
704,-35.48397064,-28.21125793
705,-35.13776016,-28.61687469
706,-34.41622162,-28.26852608
707,-33.13186646,-27.48736382
708,-31.78415871,-26.80261421
709,-30.41607857,-26.39146042
710,-29.38810539,-26.11920929
711,-28.92704391,-25.70085335
712,-28.60412598,-25.32799435
713,-28.10768509,-25.00018311
714,-27.15226364,-24.57003975
715,-25.86932182,-24.04838943
716,-24.0886631,-23.39234066
717,-22.35444069,-22.4535656
718,-21.20557594,-21.29789734
719,-20.49679375,-19.98021698
720,-19.13463211,-18.57081127
721,-17.37022018,-16.95582771
722,-15.49388504,-15.24424744
723,-13.71306705,-13.75083566
724,-12.13929844,-12.44977236
725,-10.80299377,-11.23406553
726,-9.82414341,-10.20985378
727,-8.998617172,-9.60188815
728,-8.361082077,-9.274816871
729,-7.96839571,-8.995995522
730,-7.890767574,-8.80795455
731,-7.910128593,-8.556993127
732,-7.860117912,-8.382891655
733,-7.89674902,-8.405921936
734,-7.96243763,-8.719992876
735,-8.210162163,-9.230331421
736,-8.61305809,-9.747783393
737,-9.111379623,-10.39340746
738,-9.58066082,-11.1263324
739,-10.17845249,-11.80165947
740,-10.77326107,-12.28808308
741,-11.42445278,-12.73606443
742,-12.26674938,-13.30176568
743,-13.3059845,-13.95557642
744,-14.79001522,-14.61364412
745,-16.87969208,-15.30033398
746,-19.66781425,-16.16786099
747,-22.90745163,-17.37438011
748,-26.24910736,-19.09470558
749,-29.39214897,-21.3882618
750,-32.33573532,-24.03391457
751,-35.39897919,-26.70741844
752,-38.54270172,-29.44617844
753,-41.17235184,-32.2164402
754,-43.21832657,-34.33909607
755,-44.16137695,-35.56075478
756,-43.55180359,-35.66339874
757,-40.7218132,-34.46801758
758,-37.30242538,-32.15812683
759,-33.65414429,-29.2265358
760,-29.6343708,-26.53574753
761,-25.78016281,-24.92852592
762,-22.80889893,-24.42780304
763,-20.5379734,-24.23827076
764,-19.16926956,-23.73755646
765,-18.49315834,-22.7267189
766,-17.90620232,-21.34049034
767,-17.41021347,-19.99143887
768,-16.93986511,-18.98968697
769,-16.39460945,-17.28397322
770,-15.69325447,-15.20724678
771,-14.19153309,-13.0587368
772,-12.03049755,-10.51880187
773,-9.2003479,-7.738070011
774,-6.266860485,-5.438237667
775,-3.761255503,-3.407001972
776,-1.687746048,-1.233783722
777,-0.016687432,1.1380415
778,1.315397501,3.38287354
779,2.485580683,5.14938354
780,3.706867456,6.4328022
781,5.022084713,7.51520157
782,6.280497551,8.41703415
783,7.398761749,9.10611916
784,8.254919052,9.67139626
785,8.94319725,10.15125465
786,9.443011284,10.59535408
787,9.751763344,10.86814308
788,9.628510475,10.81040382
789,8.999534607,10.40351295
790,7.904769421,9.56419945
791,6.418822289,8.27151108
792,4.70644474,6.67849731
793,3.002267599,5.13794994
794,1.277989626,3.66386795
795,-0.624509633,2.02555943
796,-2.862861156,-0.21926403
797,-5.669626236,-2.912465572
798,-9.298074722,-5.806916714
799,-13.6602335,-9.104489923
800,-18.33275986,-12.80243874
801,-22.07752037,-16.57858849
802,-24.77799416,-20.09061527
803,-26.25851059,-22.3366394
804,-25.22803497,-23.6056776
805,-23.04123878,-24.12458134
806,-20.79209328,-24.21206188
807,-18.91662598,-24.19851589
808,-17.61301422,-24.45830536
809,-16.984972,-24.95904636
810,-16.85074997,-25.34741783
811,-17.12918854,-25.44232559
812,-17.76537323,-25.27637196
813,-18.50421143,-25.05865002
814,-19.08142471,-24.76589775
815,-19.23215485,-24.29609871
816,-19.01413918,-23.84994221
817,-18.38635635,-23.37288189
818,-17.50928879,-22.53415489
819,-16.61411667,-21.21338463
820,-15.82495403,-19.3492012
821,-14.94143009,-17.35288811
822,-13.70548153,-15.63407993
823,-12.34942722,-14.18833637
824,-11.29164791,-12.88428044
825,-10.69007397,-11.94278312
826,-10.31957626,-11.51398611
827,-9.866928101,-11.42829192
828,-9.236132622,-11.34303379
829,-8.665260315,-11.21756506
830,-8.213198662,-11.09487164
831,-8.08921051,-11.13935566
832,-8.367051125,-11.5974586
833,-8.862508774,-12.25214696
834,-9.449347496,-12.89420438
835,-10.13425159,-13.23799944
836,-10.6389513,-13.42966723
837,-10.9877367,-13.67473698
838,-11.35433483,-13.952878
839,-11.90013504,-14.06943417
840,-12.59626102,-14.06605005
841,-13.27739143,-14.11665106
842,-13.85629654,-14.26989079
843,-14.43866444,-14.68471479
844,-15.3008585,-15.25556564
845,-16.37605858,-15.96683264
846,-17.50806999,-16.90903425
847,-18.89371109,-18.16979027
848,-20.73617363,-19.77487183
849,-22.9007473,-21.56886673
850,-25.30767059,-23.49862862
851,-27.76864624,-25.43510914
852,-30.1406517,-27.24891281
853,-32.60214233,-29.84997368
854,-34.89436722,-32.73107529
855,-36.99671936,-35.45824242
856,-38.79751587,-37.80330086
857,-39.86369324,-39.25444221
858,-39.8666954,-39.60714912
859,-38.64303589,-38.76799583
860,-36.33166122,-36.35269928
861,-33.75945663,-33.07358742
862,-31.0705719,-30.55109406
863,-28.47896194,-29.14410019
864,-26.12522125,-28.30653
865,-24.32741737,-27.61271858
866,-23.13679695,-26.82582474
867,-22.06118774,-26.1374836
868,-21.63881683,-25.72739029
869,-21.41679192,-25.31279278
870,-21.50475502,-24.38154602
871,-21.25753403,-22.64261055
872,-19.72329712,-20.3614006
873,-17.06147385,-17.93501997
874,-14.2690134,-15.52944183
875,-11.0624733,-13.43964315
876,-7.587653637,-11.37599969
877,-4.416555882,-8.888720036
878,-1.963469148,-5.780019283
879,-0.019257294,-2.550900936
880,1.752213836,0.52020073
881,3.517645836,3.11857891
882,5.048497677,5.1562376
883,6.254125118,6.75713921
884,7.186038494,8.19630432
