PacketCounter,Left_Hip,Right_Hip
799,-30.91489792,-30.91489792
800,-30.726408,-30.726408
801,-30.12028503,-30.12028503
802,-29.66742516,-29.66742516
803,-29.0627327,-29.0627327
804,-28.76117134,-28.76117134
805,-27.82839394,-27.82839394
806,-26.22280693,-26.22280693
807,-24.3249054,-24.3249054
808,-22.82639885,-22.82639885
809,-21.64751816,-21.64751816
810,-20.78642082,-20.78642082
811,-19.7668705,-19.7668705
812,-18.03527832,-18.03527832
813,-16.28974915,-16.28974915
814,-14.57391262,-14.57391262
815,-12.40775299,-12.40775299
816,-9.928632736,-9.928632736
817,-7.639411926,-7.639411926
818,-5.699901581,-5.699901581
819,-4.358764172,-4.358764172
820,-3.420666456,-3.420666456
821,-2.576349735,-2.576349735
822,-1.564020634,-1.564020634
823,0.140515924,0.140515924
824,2.443885803,2.443885803
825,3.899029016,3.899029016
826,4.171562195,4.171562195
827,3.460924149,3.460924149
828,2.15216279,2.15216279
829,0.049619626,0.049619626
830,-2.665373802,-2.665373802
831,-5.80505991,-5.80505991
832,-8.728140831,-8.728140831
833,-11.45275688,-11.45275688
834,-13.67760468,-13.67760468
835,-15.70197678,-15.70197678
836,-16.30882645,-16.30882645
837,-16.21335983,-16.21335983
838,-16.22459602,-16.22459602
839,-17.19311905,-17.19311905
840,-17.89712906,-17.89712906
841,-17.10655022,-17.10655022
842,-16.15829277,-16.15829277
843,-16.06904984,-16.06904984
844,-15.75390339,-15.75390339
845,-14.97288609,-14.97288609
846,-14.23622704,-14.23622704
847,-13.43175316,-13.43175316
848,-12.80052853,-12.80052853
849,-13.20790577,-13.20790577
850,-14.62417603,-14.62417603
851,-16.97864914,-16.97864914
852,-19.74866486,-19.74866486
853,-22.67485237,-22.67485237
854,-25.64050674,-25.64050674
855,-28.63286018,-28.63286018
856,-31.45278931,-31.45278931
857,-33.8401947,-33.8401947
858,-35.64295197,-35.64295197
859,-36.97193527,-36.97193527
860,-37.44879532,-37.44879532
861,-36.2146492,-36.2146492
862,-34.9719162,-34.9719162
863,-33.70926666,-33.70926666
864,-32.65585709,-32.65585709
865,-31.16903305,-31.16903305
866,-29.46136475,-29.46136475
867,-27.45789337,-27.45789337
868,-26.01461983,-26.01461983
869,-24.65723228,-24.65723228
870,-23.35670662,-23.35670662
871,-21.96078682,-21.96078682
872,-20.64624214,-20.64624214
873,-19.14982986,-19.14982986
874,-17.63395119,-17.63395119
875,-16.56546211,-16.56546211
876,-16.15817833,-16.15817833
877,-16.51469421,-16.51469421
878,-17.02241135,-17.02241135
879,-18.38837814,-18.38837814
880,-20.28997803,-20.28997803
881,-21.87473869,-21.87473869
882,-23.15642929,-23.15642929
883,-24.87092781,-24.87092781
884,-27.07185936,-27.07185936
885,-28.78871536,-28.78871536
886,-29.82164383,-29.82164383
887,-30.56641197,-30.56641197
888,-31.0707531,-31.0707531
889,-28.36762428,-28.36762428
890,-26.32029533,-26.32029533
891,-26.73345947,-26.73345947
892,-26.2285347,-26.2285347
893,-23.83173943,-23.83173943
894,-20.66662979,-20.66662979
895,-18.88659096,-18.88659096
896,-18.45026779,-18.45026779
897,-17.50564957,-17.50564957
898,-15.57399559,-15.57399559
899,-13.72300625,-13.72300625
900,-12.35248375,-12.35248375
901,-10.62274361,-10.62274361
902,-8.073553085,-8.073553085
903,-5.37502861,-5.37502861
904,-3.450656414,-3.450656414
905,-2.695398092,-2.695398092
906,-2.706974268,-2.706974268
907,-2.409374475,-2.409374475
908,-1.281376839,-1.281376839
909,0.18616055,0.18616055
910,1.645524979,1.645524979
911,2.387343168,2.387343168
912,2.891613245,2.891613245
913,3.293108702,3.293108702
914,3.42348361,3.42348361
915,2.100917578,2.100917578
916,-0.005330963,-0.005330963
917,-2.270616293,-2.270616293
918,-5.034231663,-5.034231663
919,-8.20862484,-8.20862484
920,-10.35010433,-10.35010433
921,-12.14123821,-12.14123821
922,-12.99995232,-12.99995232
923,-13.07504368,-13.07504368
924,-12.81094551,-12.81094551
925,-13.35643768,-13.35643768
926,-13.80097961,-13.80097961
927,-13.19864941,-13.19864941
928,-11.75274277,-11.75274277
929,-11.07528687,-11.07528687
930,-10.50484467,-10.50484467
931,-9.266141891,-9.266141891
932,-7.938988686,-7.938988686
933,-7.357460976,-7.357460976
934,-7.122131824,-7.122131824
935,-6.939090252,-6.939090252
936,-7.205986977,-7.205986977
937,-8.426003456,-8.426003456
938,-10.45590305,-10.45590305
939,-13.06007957,-13.06007957
940,-16.55528259,-16.55528259
941,-20.2963028,-20.2963028
942,-23.54988861,-23.54988861
943,-25.91401672,-25.91401672
944,-27.62429619,-27.62429619
945,-29.12107849,-29.12107849
946,-30.57078362,-30.57078362
947,-31.79382133,-31.79382133
948,-32.68147278,-32.68147278
949,-32.32170868,-32.32170868
950,-32.30050659,-32.30050659
951,-31.46150208,-31.46150208
952,-30.10598946,-30.10598946
953,-28.12809944,-28.12809944
954,-25.45892715,-25.45892715
955,-23.7738266,-23.7738266
956,-22.30868912,-22.30868912
957,-20.80515862,-20.80515862
958,-18.96434212,-18.96434212
959,-17.87438011,-17.87438011
960,-16.78460503,-16.78460503
961,-15.39081192,-15.39081192
962,-14.27663136,-14.27663136
963,-13.04097462,-13.04097462
964,-12.10387325,-12.10387325
965,-11.55013943,-11.55013943
966,-11.8287487,-11.8287487
967,-12.93275547,-12.93275547
968,-15.1488409,-15.1488409
969,-17.60952187,-17.60952187
970,-19.12129974,-19.12129974
971,-21.02941895,-21.02941895
972,-24.11711502,-24.11711502
973,-27.7342186,-27.7342186
974,-30.46375084,-30.46375084
975,-32.63630676,-32.63630676
976,-33.81700897,-33.81700897
977,-33.53243637,-33.53243637
978,-31.30916405,-31.30916405
979,-29.53253937,-29.53253937
980,-28.24373245,-28.24373245
981,-27.98368835,-27.98368835
982,-25.64247131,-25.64247131
983,-23.04514313,-23.04514313
984,-20.38776588,-20.38776588
985,-19.33538437,-19.33538437
986,-19.21540642,-19.21540642
987,-18.0594635,-18.0594635
988,-16.19936752,-16.19936752
989,-14.37258816,-14.37258816
990,-12.59604263,-12.59604263
991,-10.47263336,-10.47263336
992,-7.924293518,-7.924293518
993,-5.307274342,-5.307274342
994,-3.391148329,-3.391148329
995,-2.762587547,-2.762587547
996,-2.558815956,-2.558815956
997,-1.627352715,-1.627352715
998,0.035906307,0.035906307
999,1.804665327,1.804665327
1000,2.986111879,2.986111879
1001,2.975649118,2.975649118
1002,2.113777637,2.113777637
1003,1.253666878,1.253666878
1004,0.67134279,0.67134279
1005,-0.195465028,-0.195465028
1006,-1.582561374,-1.582561374
1007,-3.989503622,-3.989503622
1008,-7.204554558,-7.204554558
1009,-9.537269592,-9.537269592
1010,-11.61742687,-11.61742687
1011,-13.13978958,-13.13978958
