PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
1199,0.22833018,6.511049271,-5.134572029,-22.7715416,-69.74409485,-1.962149501
1200,-0.218061477,6.889212132,-5.29028511,-4.356815815,-67.17900085,-6.303041458
1201,-1.42967248,7.104245663,-4.785167694,1.309952021,-44.14739227,-12.92296982
1202,-1.105157256,6.411744118,-4.807282448,11.54535484,-23.5904808,-16.74403954
1203,0.039044131,6.150705814,-3.775003433,51.16760635,-26.52113914,-14.29448414
1204,0.746815562,6.712456226,-2.647072554,60.18868637,-27.61715126,-22.17873955
1205,1.58956778,8.070953369,-3.104293823,71.29097748,-33.38421631,-36.26638412
1206,2.080753326,9.883506775,-2.914445639,91.18989563,-44.53761292,-42.35483932
1207,1.951394081,9.657639503,-1.850134015,77.37006378,-42.46142578,-48.42831802
1208,1.818543196,8.532329559,-2.565419197,66.96591187,-40.01133728,-56.8466835
1209,0.521756649,7.852843761,-4.024250984,84.92063904,-47.65780258,-59.08597946
1210,-0.430228591,7.928111076,-4.700730324,109.5738678,-51.77655029,-58.65575409
1211,-0.38359201,7.552022457,-5.810654163,106.5599136,-41.04322052,-62.59280396
1212,-0.369025707,7.339211941,-6.438995838,106.1906967,-39.05995941,-63.12677383
1213,-0.310539961,6.600453377,-6.743563652,92.13301849,-33.37096024,-55.52516556
1214,-0.671124637,6.200891972,-6.878417492,61.42887115,-20.97349739,-47.2277565
1215,-0.838066578,5.828085423,-7.07002449,29.88480949,-2.632358789,-44.34033966
1216,-0.655625224,7.145997524,-8.594350815,18.83232689,17.07338715,-37.55289841
1217,-0.174534276,7.35256052,-8.941083908,11.91481113,26.87669754,-24.00856972
1218,0.152518481,6.331624985,-7.994123936,-28.60243034,33.31132507,-15.07194614
1219,-0.943971932,6.597746372,-8.107964516,-39.6755867,44.79836655,-7.207427502
1220,-3.056818247,6.096271038,-9.109015465,-8.013933182,36.89894485,-0.149386808
1221,-2.703513384,5.580896854,-8.804610252,13.39199734,39.89408112,5.144464016
1222,-2.163025856,6.490847588,-7.23209095,13.71334934,56.26743698,4.667899132
1223,-1.605113864,7.190737247,-6.291749001,4.44677496,53.39803696,1.903215766
1224,-2.455446243,5.593620777,-6.965310574,-2.692101479,8.807770729,9.115815163
1225,-2.314563751,3.934816122,-7.387627125,-1.399069905,-16.89405632,7.800184727
1226,-0.981275201,4.865262032,-7.975563526,12.12201023,-11.42587566,-3.108552694
1227,-0.970829546,4.557739735,-6.910853863,29.05437469,8.466438293,-18.85574341
1228,-2.121979713,4.375838757,-6.988197803,34.33664703,27.3269825,-30.41752052
1229,-2.281298161,3.015923977,-6.903263569,42.21427155,33.3850174,-39.37998199
1230,-2.194582701,2.585128069,-6.644576073,62.47970963,27.34453201,-41.34654617
1231,-2.540557146,3.190127134,-5.882572651,88.97151947,23.47656631,-46.35386658
1232,-2.440370321,4.056499004,-5.612910271,103.0874863,21.35311127,-53.71338272
1233,-1.416263461,3.851666212,-5.676229477,118.3229065,23.26432037,-58.96994781
1234,-1.031025171,2.144310474,-6.310240269,136.0761108,21.60589218,-62.18470764
1235,-1.579572797,1.193052411,-9.393968582,163.1286316,5.624409199,-64.22151184
1236,-2.457455635,2.410506487,-12.5534029,198.8695679,3.43384099,-64.67720795
1237,-3.569992304,1.903447151,-11.47973824,204.3167725,12.59861946,-66.50245667
1238,-3.909710169,1.270325661,-9.975883484,200.170166,12.98678207,-66.89541626
1239,-2.805723906,-0.445053995,-9.307534218,213.8105927,24.47029305,-77.27085876
1240,-2.280376434,-0.779070675,-10.97366428,245.0802765,33.72728348,-85.74938202
1241,-2.135929108,0.229678094,-10.49920082,278.6685486,36.93574524,-93.1631546
1242,-1.835968733,-0.697564483,-8.966520309,274.0043335,47.49946213,-93.37026215
1243,-2.199826956,-1.734715462,-9.450831413,271.4767761,47.99332809,-92.20730591
1244,-3.230794907,-2.444720268,-11.02903271,301.5924072,40.12685776,-96.69992828
1245,-2.470271349,-4.026013851,-10.86745644,325.7203674,35.24576569,-92.70401001
1246,-2.288717747,-5.26875782,-10.35058212,314.8367615,35.88677597,-85.48831177
1247,-2.687380075,-5.537654877,-10.75594997,298.5375977,28.4035244,-77.86403656
1248,-2.523615599,-4.521409512,-10.59472466,301.0887451,24.45668793,-73.56945038
1249,-2.247658253,-4.393427849,-9.636626244,282.5335999,25.3241806,-68.87514496
1250,-1.176929474,-4.332934856,-9.140615463,235.9888306,12.26153278,-60.69504929
1251,-0.055249978,-4.409265041,-8.921491623,182.0737,11.43365669,-48.2566185
1252,-0.713589907,-4.203796864,-8.353824615,136.9244385,22.14829445,-35.77702332
1253,-1.740660787,-4.691604614,-8.548592567,97.01783752,22.42937279,-25.83534241
1254,-1.606052637,-4.85789299,-7.164270401,57.44789505,21.51428223,-10.23174
1255,-1.559492469,-5.38076067,-5.875508308,26.42630005,18.63411903,0.528564811
1256,-1.06655705,-4.452728748,-5.123661995,-6.641026974,32.12880707,5.126318932
1257,-1.489028335,-4.178576469,-5.933319569,-35.12306213,17.34457207,14.12235928
1258,-1.475449681,-5.773755074,-6.029925346,-53.74232864,3.796468496,22.42111969
1259,-1.07458818,-6.344199181,-6.461326599,-103.6111755,-27.39428139,37.99472809
1260,0.299253583,-4.613063812,-6.652090073,-150.9212189,-33.34328842,51.54970932
1261,0.39633286,-4.292908192,-6.828445435,-196.390686,-24.99542618,54.98502731
1262,-0.642623603,-6.429094791,-7.633906841,-214.8647461,-24.36494255,58.21064377
1263,-1.016425848,-6.155561447,-10.09434891,-203.78685,-33.44538879,62.31863403
