PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
499,-0.442245483,-6.472229481,-8.360413551,-152.2302399,-31.57113266,42.5513382
500,-0.4413867,-5.509102821,-8.770518303,-151.836731,-39.6553688,39.35603714
501,-0.618298292,-5.497820377,-10.1478796,-151.8803558,-48.16897964,36.46471786
502,-0.75459522,-4.537589073,-10.31096554,-141.901062,-51.89476776,33.41549301
503,-0.930331409,-3.568781376,-9.807961464,-124.1034851,-51.28065491,31.76836395
504,-1.060925364,-3.344390631,-8.541361809,-109.4236221,-52.298069,35.95571136
505,-1.144317508,-4.043001175,-9.12607193,-101.3707199,-45.4836731,38.85166168
506,-0.460665762,-3.717569113,-8.980113983,-90.64457703,-29.70951653,34.47768784
507,0.360461712,-3.899984837,-8.303151131,-59.76550674,-19.51186943,25.87651825
508,0.69943285,-3.920980453,-9.214319229,-34.72458649,-5.523842812,16.43457031
509,0.490641773,-2.682660103,-9.988229752,-7.498684406,5.827486992,8.084005356
510,-0.11060901,-1.624537826,-9.722137451,-0.696601629,9.269667625,0.671648443
511,-0.250840455,-0.128555909,-10.48431492,8.077362061,12.06525135,-6.030540466
512,-1.280413866,0.158089399,-10.27210712,16.77596855,4.674025059,-13.83658123
513,-1.865564704,1.463755965,-9.963550568,20.52845383,8.460495949,-18.40199661
514,-1.540997744,3.17331624,-9.84139061,9.827590942,13.72742748,-14.84824562
515,-2.099452496,2.921799421,-9.542767525,-2.86473155,15.68636417,-8.265916824
516,-1.443404794,2.381883144,-8.486372948,-20.70170784,16.48092461,-4.440485477
517,-1.6209656,1.631839275,-7.840959549,-33.60301208,7.482730865,2.527561426
518,-1.612418532,0.657205582,-7.333959103,-40.2024498,-1.659853816,9.342629433
519,-1.030450344,0.702839136,-7.476661682,-64.06591797,-9.009263992,12.08602905
520,-1.021336079,1.709833384,-7.934599876,-78.04824066,-6.352720261,16.59770393
521,-0.968278348,2.040273666,-7.991453648,-81.84283447,10.00404358,20.69775772
522,-1.190950871,2.640083551,-7.847214699,-76.92152405,30.42660522,22.87012672
523,-2.035107136,3.445636034,-8.535695076,-73.30818939,22.59011459,31.9311142
524,-3.230036497,3.364658833,-9.838027954,-91.65067291,0.945873559,45.798069
525,-3.517174244,2.52258563,-10.5470562,-101.1981125,-8.455078125,56.70009995
526,-2.794387102,2.476843596,-9.962805748,-100.4985809,-1.42427063,50.57043076
527,-2.095405579,3.692626953,-9.363039017,-109.6778717,15.65991783,45.95909882
528,-1.754827142,4.629050732,-9.879097939,-117.1374741,3.022605181,49.53871536
529,-1.414069653,4.953515053,-9.295779228,-128.539032,-11.78002357,52.39582825
530,-2.082217216,4.779088497,-8.674591064,-154.1741028,-10.00348282,56.65002823
531,-2.236128569,4.330572128,-8.756145477,-178.2450409,2.168612957,63.67259598
532,-2.23327446,3.534985781,-8.449574471,-182.2541351,11.93501759,65.3646698
533,-2.434954405,3.792876005,-8.251180649,-187.3150787,17.7814846,65.38381195
534,-2.324341774,5.353900433,-8.087522507,-192.7962799,11.56355095,61.99808502
535,-1.739043474,5.57054615,-8.627121925,-183.4928436,-6.347733021,62.45385742
536,-1.368036866,5.597894192,-8.193303108,-165.8940887,-20.6424942,63.07445526
537,-1.413767099,5.654897213,-7.307372093,-157.0117645,-17.30757904,62.10451508
538,-1.151579738,4.803482056,-6.692062378,-147.3308258,-10.1505661,53.14131927
539,-0.972029984,3.921093464,-5.944020748,-132.0591583,-14.64105034,44.42730331
540,-1.245970726,4.758678436,-5.611071587,-114.6234436,-21.67671967,42.59713745
541,-0.99431783,6.253222466,-5.176151276,-89.62059784,-27.28975677,44.57676315
542,-0.585802495,6.666369915,-4.375499725,-85.02490234,-31.34990692,42.99642181
543,0.129950136,7.095849514,-4.609883308,-84.6601944,-35.21617126,40.09221649
544,-0.108867541,7.355383396,-5.100691319,-78.74507904,-44.90581512,33.88641739
545,0.09931159,6.750282288,-5.86295414,-52.15296173,-51.97867203,23.18774796
546,0.302114159,6.042153358,-5.546072483,-12.58044624,-49.33895111,17.61104393
547,-0.358818501,6.086681843,-5.181962013,0.642945409,-32.45001984,10.93473339
548,-1.121989369,6.617174625,-6.393041611,24.77075005,-23.97395515,-0.551879048
