PacketCounter,Left_Hip,Right_Hip
699,6.96940422,10.62726212
700,6.24380112,10.65952873
701,6.05870819,10.45297432
702,5.84062481,10.81099129
703,5.5503273,11.24677086
704,5.32600689,11.69777298
705,5.35413361,12.20749283
706,5.55041122,12.52931976
707,5.62636471,12.91422844
708,5.78337574,12.77609253
709,6.32894325,12.77397728
710,6.62463951,13.10209274
711,6.43745422,13.72800446
712,6.77668953,14.26306152
713,7.21578217,14.5844841
714,7.39391518,14.67997742
715,7.62648201,15.05173874
716,7.66801262,15.42610168
717,7.91031265,15.67523956
718,8.49343681,15.75476456
719,9.28996468,16.0085907
720,9.87211418,16.1639595
721,10.32625389,16.33880615
722,10.70942116,16.65546036
723,11.24216843,17.41568375
724,11.89664841,18.21509171
725,12.92966843,18.63914871
726,14.17484474,19.16409683
727,15.20490456,19.63691711
728,16.04252815,20.17757797
729,16.72922134,20.83072662
730,17.2838726,21.46892548
731,17.43784904,21.96257401
732,17.53324699,22.14974213
733,17.65489578,22.1500473
734,18.10386276,22.28882217
735,18.54384422,22.44324493
736,18.7150383,22.48441315
737,18.43520737,22.46340561
738,18.08719635,22.48161697
739,17.78677368,22.42806244
740,17.18149948,22.10518646
741,16.15214157,21.32808685
742,14.96654701,20.23918152
743,13.77850342,18.92247772
744,12.16145134,17.42283249
745,10.04140091,15.62084961
746,7.3260498,13.45084953
747,3.98382378,10.76282883
748,0.01601505,7.41615105
749,-4.42127514,3.64870071
750,-9.0958823,-0.26385117
751,-13.45701456,-4.01419735
752,-17.60283041,-7.53658962
753,-21.18376064,-11.13033962
754,-23.8761301,-14.89410114
755,-25.54937172,-17.87248197
756,-26.12864494,-19.29452562
757,-25.57121277,-18.84288353
758,-23.67941856,-16.74058914
759,-21.66028881,-14.73864675
760,-20.2446022,-13.14568996
761,-18.4993515,-12.10441732
762,-16.45660496,-11.40864563
763,-14.48699951,-10.15983915
764,-12.32268763,-7.97226143
765,-9.77359465,-5.61909866
766,-6.96241116,-3.932827
767,-3.94187307,-2.68453026
768,-1.48856544,-1.26843071
769,-0.10772991,0.0810833
770,0.79467487,1.41187859
771,1.55064297,2.59051323
772,2.2809906,3.72973061
773,3.00685787,5.22247696
774,4.11276627,6.93554878
775,5.57006168,8.44922829
776,7.16485023,9.60154915
777,8.11535645,10.45548248
778,9.03250694,11.14230728
779,10.05241013,11.90539932
780,11.00304794,12.59538269
781,11.92983246,13.53073883
782,12.72625351,14.41076279
783,13.25960541,15.1583786
784,13.55755615,15.79038239
785,13.80371857,16.51766968
786,13.97981453,17.29676437
787,14.23208809,17.96934128
788,14.65214539,18.41835785
789,14.8789196,18.7550354
790,14.9073925,18.99850845
791,14.90346146,19.30521011
792,15.00292206,19.72000122
793,15.14693069,20.15901184
794,15.36751747,20.50601959
795,15.60737801,20.71990585
796,15.82343674,20.83423996
797,15.96924782,20.94089508
798,16.11280823,21.07582474
799,16.19242668,21.21360016
800,16.21035004,21.30876541
801,16.07422447,21.36942291
802,15.82097244,21.42166901
803,15.54745293,21.40267181
804,15.26368332,21.25792313
805,14.83867264,21.0249939
806,14.21131134,20.71356964
807,13.37900352,20.34849548
808,12.64273262,20.02692413
809,12.23831367,19.75266647
810,11.94128036,19.4472847
811,11.45698738,19.10322189
812,10.84126091,18.6430397
813,10.19320869,18.10720825
814,9.66281319,17.70180893
