PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
599,-0.480511099,-0.140567079,9.465489388,9.498122215,32.98645782,11.57357979
600,0.21428287,-0.220375806,9.349862099,-2.197914839,36.34343719,15.62415886
601,0.75749743,-0.575462759,9.525436401,-10.29012299,33.78393555,17.0864296
602,0.714259326,-1.271615028,9.897353172,-21.612957,38.55374527,21.75000572
603,-0.575120091,-1.452094555,10.10041523,-36.67339325,32.62205124,16.92425156
604,-1.185919404,-0.811576188,9.75169754,-33.01580048,40.79718018,11.71789837
605,-0.107630804,-0.676684618,9.620405197,-20.78772926,41.24087143,13.07855797
606,0.72131294,-0.656940639,9.48343277,-8.355700493,39.7205925,17.27057838
607,-0.220940828,-1.202948093,9.694538116,-13.22571659,33.30506134,20.99487114
608,-0.902283192,-1.21800971,9.491541862,-24.14937782,34.82394409,14.0329895
609,-0.449562699,-1.328434706,9.377916336,-26.10388756,38.17326355,17.42361069
610,-1.250592113,-1.557060957,9.885245323,-31.993433,35.39230347,18.00530434
611,-1.85248661,-1.545825958,8.967023849,-35.06799316,29.07574654,13.42463684
612,-1.583681822,-1.335810065,8.286190033,-23.57971001,25.04809952,12.15373611
613,-1.241919756,-1.385255694,8.499883652,-21.63059425,15.87542248,13.26259899
614,-0.94399631,-1.495674014,7.73351717,-15.39044857,14.69559288,11.87982941
615,-1.346286178,-1.959564686,9.17075634,-22.08805275,13.63108253,9.697678566
616,-2.131766796,-1.990014195,8.899753571,-22.05857468,9.047724724,8.825469971
617,-2.26806736,-2.254231691,8.763964653,-24.38829231,5.945765972,6.770394325
618,-1.47772038,-2.112245321,8.913272858,-37.01945496,2.036924124,5.233878613
619,-1.081593871,-1.687554479,9.398076057,-39.49423218,2.371986151,5.965621948
620,-1.305754066,-0.837581396,9.964028358,-49.12224197,-2.291485548,6.696505547
621,-1.591503501,-1.701370239,9.650554657,-52.10325623,-18.96742439,3.883958578
622,-1.66475749,-3.249459028,8.913036346,-48.25588226,-31.16517639,-1.456867218
623,-1.239581227,-3.445873022,9.010463715,-51.97255707,-40.73765564,-3.624444962
624,-1.018759012,-2.951690674,8.883927345,-51.11046982,-45.32660675,-4.52106142
625,-0.722660542,-2.899469137,9.350808144,-49.56394958,-52.83229828,-2.72382021
626,-0.690886617,-3.498440742,9.510704041,-54.0100441,-62.43622971,-2.081619501
627,-0.152109563,-4.35966444,9.740661621,-55.11591339,-65.33679962,-2.254001379
628,0.197292984,-4.91191864,10.12133121,-47.29983902,-71.15022278,-5.304738045
629,0.672694802,-5.326702118,10.03756809,-35.83913803,-74.99920654,-7.966417789
630,1.017429829,-5.845408916,10.22191429,-19.16861916,-87.06625366,-10.59088802
631,1.170734644,-6.231813431,10.29274368,5.865736008,-99.44667816,-15.08480072
632,1.27658546,-5.927463055,10.7838974,27.21853828,-110.2500992,-20.9513588
633,1.814815521,-4.462296009,11.22763538,29.88702011,-115.92733,-28.92923927
634,2.608498335,-4.006874084,11.92678642,47.6252861,-119.4716873,-31.1006546
635,3.039624691,-3.380383968,12.94131565,31.52358055,-128.9653168,-24.34570503
636,3.202392578,-2.769684553,12.29564381,14.15226746,-136.245163,-16.99140167
637,4.317353249,-5.104805946,12.48220253,-14.87755585,-129.382431,-18.71877289
638,5.265293121,-7.395018101,12.46139431,-3.730060577,-120.6956482,-22.78101921
639,5.740429401,-6.62663269,12.85329342,6.726271629,-106.1444778,-32.60292816
640,6.17239666,-3.738467693,13.21786118,9.953667641,-96.49240875,-35.78622055
641,6.925418854,-3.240724564,13.04100704,8.847045898,-81.73696899,-27.84746742
642,7.570869923,-4.465878963,11.84834385,7.594739914,-52.47654724,-15.50742912
643,8.280785561,-4.344256878,10.1891098,16.5174942,-29.02374268,-3.901072502
644,8.780138016,-3.761700153,10.45696068,28.09031105,-7.506210804,7.26758194
645,10.40086842,-3.899767637,10.15471077,7.184298515,34.2541275,9.705892563
646,11.02414131,-3.653145313,7.779521942,8.478632927,74.35009003,8.439432144
647,9.035241127,-2.88566184,5.995026112,32.04230881,104.0425034,11.75068665
648,8.158236504,-2.549438715,4.804306507,54.62314987,116.7514877,17.19184113
649,9.144657135,-1.745675325,3.607525349,58.38667679,141.1378784,20.63953972
650,8.858203888,-1.412720203,3.536211491,50.19292068,161.4923706,25.07597923
651,6.979902267,-1.487293005,1.925113678,34.88448715,191.3656006,29.43808746
652,4.038113594,-1.176682711,2.148602486,27.45338821,232.7093506,28.63199234
653,-0.438241392,-1.104664922,3.619360924,28.2054081,263.8977661,34.67453003
654,-2.310513258,-0.104840122,5.901341438,43.38537979,255.9593964,46.60205841
655,-3.312963247,1.15982759,3.977934837,21.74304581,251.8652191,63.21536255
656,-5.30284977,0.218287796,2.705243349,3.599519968,251.1194153,60.06890488
657,-5.827712059,-1.223334074,4.853480816,-25.27367783,248.8746643,51.38594055
658,-4.490924835,-1.560782671,7.78523922,-41.69525909,225.1547546,52.64285278
659,-5.815425873,-0.264590681,9.954260826,-22.16318893,182.4734344,50.88660812
660,-7.230630875,-1.662400484,5.528741837,-1.127831101,112.4812012,47.20648575
661,-6.179541588,-2.824068308,6.106094837,29.15558052,84.88858032,29.2807045
662,-4.814357281,-1.547138333,6.813191891,27.93314552,72.09736633,18.63615608
663,-4.953430653,-0.836002588,8.371853828,11.90479374,65.24258423,24.35613823
664,-5.63285017,-0.429799885,9.677044868,2.630075693,51.94734955,21.48744392
665,-4.4430089,-1.23917985,9.679543495,6.57881546,42.04764938,13.8392725
666,-4.564857483,-2.361305714,9.004639626,9.409972191,23.46713448,14.09143734
667,-5.730924606,-2.242606878,8.130529404,18.18510246,8.111907005,6.069022179
668,-6.183230877,-2.094876528,8.729868889,22.65792847,-3.996357441,-1.862213492
669,-4.723957062,-2.137453794,9.60722065,22.19870377,-23.15720367,-3.828318596
670,-3.646212816,-2.243343592,10.17858887,28.64262962,-40.50427246,-3.790674448
671,-3.669181824,-1.888986707,11.46541882,37.18492508,-66.26239014,-8.404846191
672,-3.131765127,-1.950354218,12.09562778,41.05609512,-84.04660797,-24.20458412
673,-3.154258251,-0.024163015,12.74650669,46.22506714,-87.61801147,-31.0507412
674,-2.268546581,1.546875358,13.10663414,12.77838421,-98.11658478,-28.16670418
675,-0.596797109,-0.457823187,10.90504932,-11.82446098,-102.9437485,-21.36590004
676,0.600683689,-5.110005379,10.41387272,-7.653172493,-96.78237152,-24.62158394
677,-0.306766719,-3.970646381,9.030050278,-25.07028389,-88.19205475,-30.21040916
678,-0.813962579,-1.449200153,8.951727867,-10.8982563,-85.17131042,-29.04101181
679,-0.079645365,-2.832036972,10.48345757,-9.948892593,-86.63314056,-30.72788811
680,-0.733765364,-2.541886806,10.63105392,-5.047321796,-98.1272049,-27.47617531
681,-0.673780918,-1.23590529,10.83650208,-5.75189209,-107.7185211,-29.04906082
682,-0.025745332,-2.08595252,11.34086514,-9.829212189,-111.3372498,-24.34075546
683,-0.793754578,-1.973307848,12.56115627,-17.80503273,-126.1056366,-24.72717285
684,-0.619939625,-1.100772262,11.355196,-26.22011948,-134.3469086,-26.57846642
685,0.670237362,-1.771666646,11.59659958,-26.16433334,-137.937561,-16.04729652
686,0.68938607,-2.852489948,11.32905769,-39.81975937,-149.0978699,-14.66799736
687,1.049670219,-3.209300041,11.22885895,-37.03080368,-144.7257843,-13.03383732
688,1.745696187,-3.053178787,11.56072712,-28.68560028,-140.5046539,-14.44022369
689,2.480071306,-3.110290289,12.20059967,-21.39389801,-121.4303818,-9.979572296
690,1.252669096,-2.703492641,12.06384373,-19.11348724,-117.138031,-15.54700851
691,1.705927849,-2.495388985,10.81505585,-2.398282766,-109.0734329,-11.75328255
692,2.977334976,-2.910665512,10.63171291,5.043206215,-115.4470291,-8.445150375
693,3.769238949,-2.736490726,9.967071533,17.18793106,-102.3443222,-0.299884856
694,3.683307886,-2.648437977,9.94949913,27.73164368,-83.0676651,-0.700891256
695,3.915765524,-3.426179886,9.889347076,11.91989231,-65.15327454,-4.794002533
696,3.524721861,-3.597104311,9.743718147,12.54162121,-48.65285492,-6.456123829
697,2.764430523,-2.688872099,10.18550587,16.02089691,-34.66178131,-4.349993229
698,3.308092356,-1.899164557,10.20468807,21.04487228,-30.63721275,-0.61967665
699,4.043184757,-2.200256109,10.27535629,8.594553947,-29.43177795,1.095093608
700,3.620569229,-3.297147751,10.03589821,0.184738293,-21.04740906,1.297970414
701,2.992756128,-3.097105265,10.23544788,7.565721989,-13.22806168,-3.161710978
702,3.536786079,-1.917143464,9.972295761,4.090413094,-5.128130913,-4.079239368
703,3.574963093,-1.019071698,9.440558434,3.052239656,-0.760729074,-1.003857613
704,3.007418871,-2.301842213,9.573881149,-2.899434805,-2.408759594,-3.545732975
705,3.279651403,-3.149168015,10.10444736,-0.884739757,8.483242035,-4.372588634
706,3.366847992,-2.25922966,9.385495186,5.228277206,8.08096981,-3.12942481
707,2.858314991,-0.662552834,8.786306381,15.74774265,-13.56368637,4.201852798
708,2.867118835,-0.952257276,9.667969704,5.579957008,-16.21514893,3.780918598
709,3.134613752,-2.694769382,9.540748596,-11.42115021,-14.07299042,-1.551785588
710,3.422751188,-3.445449591,9.852767944,-7.271309376,-12.24800205,1.992855191
711,3.682482243,-2.590632439,9.983500481,10.29216385,-9.551361084,5.865696907
712,3.757418394,-1.880047321,9.86314106,20.52597618,-4.671488762,6.248906612
713,3.593654156,-2.153105259,9.723988533,16.1298275,-7.879193783,4.272965431
714,3.722589731,-2.432148695,9.393933296,8.785637856,-4.11601305,3.06276083
715,3.444839001,-2.005088329,9.141222,7.699491978,1.125198007,3.075951099
716,3.319150448,-1.185025692,9.255569458,5.149881363,3.047463179,2.936214209
717,3.36724925,-1.033947468,9.608845711,-5.618281841,5.681474209,3.125326395
718,3.369413614,-1.996150851,9.546766281,-13.36128521,5.163888931,1.115312219
719,3.151585579,-2.49304533,9.563061714,-8.559882164,-0.628855944,3.44707942
