PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
1800,7.84604311,-2.264722824,7.296681881,9.683871269,66.29930115,18.93128967
1801,7.393527508,-1.326145053,7.301352978,10.24660301,60.98012161,15.34868813
1802,7.316267967,-0.049214225,7.301729202,5.115943432,60.05148315,12.93417072
1803,7.180810452,-0.151718676,7.636007309,-14.21312714,57.31892776,9.52477169
1804,7.344495773,-1.332437277,8.045517921,-33.83214188,54.50153732,6.158490658
1805,7.232386589,-2.165916204,7.846116066,-33.92726898,55.90664291,1.895592451
1806,7.031318665,-2.65344429,7.841964245,-22.03713417,52.15821838,0.608993649
1807,6.992516518,-2.594583035,7.934537411,-7.165340424,47.97670746,5.907765865
1808,7.02593565,-2.759618998,8.24145031,-0.61436379,46.15493393,8.979107857
1809,7.13828373,-2.94314909,8.938383102,5.486376286,44.13763046,10.83731842
1810,7.115839005,-2.84175849,9.109250069,13.65830421,38.16725922,10.03083324
1811,7.026059628,-2.318301678,8.57513237,20.47382736,35.99927139,9.29118824
1812,7.010006905,-2.441821098,8.269822121,25.15194893,37.27475357,4.240642071
1813,7.439450264,-1.568897247,7.850097179,30.21359444,35.56720352,3.749439955
1814,7.840407848,-1.333519697,7.584242821,30.63747597,33.83560181,2.04876852
1815,7.767463207,-1.950037599,7.870204449,26.75943756,34.7273941,1.238772869
1816,8.086386681,-1.898428559,7.798714161,26.2379303,36.37320328,2.049600124
1817,7.477258682,-1.855548859,6.697600365,30.41222382,34.25078964,-0.102976605
1818,7.472792149,-1.948524475,6.415087223,35.76345062,45.01652908,-2.487162113
1819,8.207168579,-1.482827902,8.00023365,10.68132973,67.06033325,-3.680156708
1820,9.61671257,-0.915017724,9.208293915,-14.34989929,77.99642944,-6.444862366
1821,11.25183964,-0.591525376,8.713323593,-23.79994011,79.93611145,-10.65736389
1822,11.0171814,-1.760660768,7.666849613,-42.20360947,76.18338776,-15.51536083
1823,10.57633877,-3.175127029,6.930699348,-47.97745132,65.80713654,-12.96429443
1824,10.83638668,-2.714606762,6.832594395,-40.01821518,56.40008926,-4.345261097
1825,10.89848328,-1.862479925,6.945772171,-37.84960938,51.41187668,-2.069068193
1826,11.01944733,-2.167258978,7.491374969,-52.24153137,36.01497269,0.970575035
1827,11.19874573,-1.981640458,6.869103909,-81.89672852,20.59843445,-0.994412363
1828,10.27178383,-0.115497082,3.31636548,-69.26048279,14.93285847,-0.413588345
1829,10.69457531,-0.182655156,3.53340435,-22.02072906,24.39483643,-2.076749563
1830,11.5215435,-1.294463396,4.091197968,-15.05345058,23.99569893,-11.52800655
1831,12.0318985,-0.968555868,4.669975281,-24.10515022,32.74743271,-12.65870953
1832,11.34024143,-1.290959835,5.810073376,-35.57338333,15.40917492,-5.72983408
1833,9.762394905,-3.752972841,5.939390182,-29.50521851,4.073616505,-2.2531178
1834,10.69459152,-4.835241795,6.026105881,-16.97300911,11.06533051,-14.38390541
1835,10.26074028,-1.488513708,5.589324474,11.31698513,-4.537152767,-24.35455322
1836,7.684428215,0.984182179,5.723116875,23.96962547,-17.56623268,-11.99405289
1837,4.376999855,-1.876042962,6.590094566,29.13954163,-39.09445572,11.63571644
1838,0.714965522,-3.054089785,6.19762516,30.58193588,-36.35268784,15.48378468
1839,0.45052582,-3.637834072,9.491447449,65.13520813,15.2608366,18.86136627
1840,0.979690552,-4.280742645,11.68367863,70.28278351,18.51990128,4.121723175
1841,2.031113625,-4.86196661,14.32949924,42.59825897,12.54772091,-10.19109917
1842,5.37599659,-3.910921097,15.42887783,32.17798615,0.424256742,1.44867897
1843,6.026144028,-5.442639351,13.90532303,33.41563797,-12.58447266,0.943736196
1844,3.146956682,-3.978171349,11.06623268,51.98810196,-3.586594582,-8.752457619
1845,3.656695604,-3.284257412,10.94966793,79.65422058,6.326741695,-3.223084688
1846,4.46163559,-1.814128995,11.1797924,74.1374054,2.513429165,-3.088413239
1847,5.181666374,-0.933708668,9.904719353,51.25473785,8.876620293,-2.69197154
1848,4.850355625,-0.1171958,10.76590538,43.61223602,29.358284,2.015796661
1849,3.644308567,-0.89671427,11.25009251,19.68057823,42.52396774,4.494422913
1850,2.50998354,-1.132396936,11.01506329,-0.753327906,51.94485092,-0.437853277
1851,2.289777994,-0.960056067,9.149651527,-1.016136885,34.62578201,-5.770335197
1852,2.846723557,-0.737230182,7.938450813,28.56331635,25.94781113,-7.536821842
1853,2.032315493,-1.436665654,8.220513344,35.01397705,19.04634094,1.532742977
1854,2.547952652,-1.368415833,8.941898346,28.34881973,23.74269867,2.818633556
1855,2.64266181,-0.908729672,9.702542305,23.97858238,23.11875916,4.239193439
1856,2.090981483,-0.584307432,9.610896111,27.41705894,21.89181137,6.473639488
1857,2.141258955,-0.314107239,9.785778046,30.37682915,23.20589066,3.328003168
1858,2.480080128,0.387396783,9.439144135,32.64281464,21.94577789,2.898240089
1859,2.683464289,0.182650447,9.705004692,32.66943359,22.99026108,4.287673473
1860,2.884570599,0.041413076,10.11554813,25.47864342,22.01300049,3.439940214
1861,2.388586283,0.163928956,9.9276371,22.78231812,24.10248947,4.197554111
1862,2.507645607,-0.030514967,10.14325809,18.13175583,25.00307655,5.879762173
1863,2.017510414,0.061527893,10.5451231,2.29121995,21.49707413,4.677200317
1864,2.278563261,0.227337778,9.206921577,-7.89771986,22.63963509,10.6414547
1865,2.305900097,-0.073927268,9.021145821,-4.78357029,24.1967926,15.69364548
1866,1.790499806,-0.765195668,9.555107117,-13.4748354,28.38073921,15.60966969
1867,1.860825181,-0.272810489,7.881470203,-18.88879967,29.18321991,17.48410797
1868,1.99311471,-0.154577628,8.598081589,-5.727780819,29.43913269,19.04824257
1869,1.789236903,-0.481313497,8.77753067,-12.72482395,28.19384384,18.18299675
1870,0.999980628,-0.54455477,9.189219475,-14.11303425,26.85473251,17.86101341
1871,0.440089464,-0.209678486,7.792257309,-10.29105759,18.62928963,18.84160423
1872,0.877121627,-0.682823181,8.201999664,-6.654614925,16.29681015,16.12779045
1873,0.958102107,-0.331368744,8.852066994,-14.21423244,12.91253471,14.53297806
1874,0.754383862,0.099762104,9.105321884,-13.24972534,4.977970123,13.71179771
1875,0.668212593,0.103086829,9.410504341,-21.10423851,-9.467847824,11.71863842
1876,1.045735121,-0.535403669,9.135574341,-23.12998772,-22.89159584,9.631917953
1877,1.125644326,-0.586407006,9.508318901,-32.82639313,-30.60373116,6.879558086
1878,1.222171664,-0.029211577,9.78421402,-44.45940399,-41.23009491,8.772171974
1879,1.202680469,-0.491064548,9.682830811,-55.83826065,-53.98604965,8.375864983
