PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
599,10.10385704,1.829756856,-0.832482517,19.95318031,-35.28026199,-17.66123199
600,9.77781868,2.23501873,0.11398188,15.33178711,-38.44728088,-7.98026228
601,9.517033577,1.825720429,0.721758604,11.63238811,-42.26441574,-2.400271893
602,9.457598686,1.488703609,0.686503589,18.08322144,-46.93094254,-4.515713215
603,9.448953629,1.175550818,1.018713713,25.11359596,-52.07278824,-6.934375763
604,9.749732018,0.903264105,1.163057327,20.43289948,-60.59799957,-7.464673519
605,10.27758312,0.009739865,1.597181678,14.53515816,-68.4537735,-6.8309865
606,11.01673889,-0.639890671,1.473108172,16.45572472,-80.23295593,-9.512091637
607,11.52708244,0.372280568,1.463692069,19.35848808,-86.09428406,-14.37133121
608,11.29159641,1.372448206,1.485009313,26.20855141,-92.12271118,-13.09462833
609,10.40388107,1.645341158,1.357931137,25.5632515,-98.7987442,-12.10822773
610,10.47109318,2.532977819,0.726001859,17.46864319,-105.2526703,-12.43205261
611,12.01690483,1.973069787,0.504537046,9.552749634,-113.2517166,-6.70871973
612,13.26983547,1.210762262,0.337547123,7.069405556,-115.3423615,-1.276123047
613,13.34052277,0.682649791,0.210605651,15.24544048,-117.4006653,-0.802344739
614,12.40240955,0.830853641,-0.039646849,29.33723068,-115.0007553,-8.149175644
615,11.49964809,1.061164856,-0.308758169,40.64633179,-114.7553864,-12.6922636
616,10.97259331,1.465082049,-0.790752053,45.14686203,-117.7876282,-13.25374794
617,11.09307861,2.389054775,-1.219748735,45.81010818,-124.2909088,-2.937343359
618,12.40178204,2.868061304,-1.970247746,49.36288834,-132.014328,27.5070076
619,13.17902374,1.519881487,-1.462037563,52.76815033,-159.8375244,53.88964462
620,13.33765125,0.861925483,-2.304647207,53.67419052,-210.2012482,56.59236526
621,11.58200645,0.23491247,-2.802914858,75.10591125,-270.4615784,50.095047
622,10.63427258,0.121785559,-2.524803877,102.7304077,-367.8211365,92.61334991
623,9.684041023,-0.560529768,-1.594814539,149.9749756,-606.9438477,140.3938751
624,-12.61530972,0.392073005,-8.487190247,128.9608917,-385.5518188,-2.931019306
625,16.53572464,-2.052633524,-6.889059544,83.97423553,-383.1253967,65.35691071
626,5.222303867,-4.358613968,-9.985055923,10.39654541,-547.213562,158.3393402
627,3.227811098,-4.319304466,-13.24121571,21.5134449,-515.7350464,90.36820984
628,-14.05616856,-15.74585247,-23.52085686,128.0079498,-585.8536377,190.2054596
629,-6.959918499,-16.75485229,-19.63319778,-15.83211231,-306.1005554,174.6619415
630,5.264640808,7.73864603,-18.54356194,-125.966423,-363.6478577,-51.48170471
631,6.363895416,5.252514362,-6.704230309,-224.1457367,-66.02197266,-131.4320984
632,5.09770298,0.705481529,-4.558004856,-176.9393463,186.8051605,-54.17069244
633,4.888099194,-0.733504951,1.3560642,-74.01077271,198.7687378,-34.36567307
634,2.521892548,2.531263113,-4.149793148,-24.930233,90.83843231,-41.73809433
635,-2.396863461,2.252576351,-3.733599186,81.47225952,-47.56261826,-23.03658104
636,-1.252363205,0.699689686,-3.274781704,85.95061493,-50.92039108,11.69365788
637,-2.067527533,0.012077324,-2.519298077,73.78948975,12.06087589,23.48414421
638,-3.856699467,1.955566406,-1.915419459,35.86061096,-3.211826801,22.67787552
639,-6.267876148,1.874961257,-2.263124704,-7.944596291,-26.38939476,9.032363892
640,-4.91989851,1.400728822,-1.950342536,-25.70821381,-40.9702034,15.36767673
641,-3.754676104,-1.206182718,-2.607940435,-12.99364853,-56.50291061,10.6124506
642,-5.811757565,-2.309167147,-5.10477972,-1.44640851,-116.7764282,23.19781494
643,-3.119453669,-1.98447454,-4.867064476,-13.27444935,-56.41885376,14.49469948
644,-3.915079355,-1.651596665,-4.477763653,-20.03195381,-105.94384,7.607470989
