PacketCounter,Left_Hip,Right_Hip
499,-51.09589005,-50.71380615
500,-49.31029892,-49.92570114
501,-47.53281403,-48.92814255
502,-45.80414963,-47.64652252
503,-44.00376129,-45.85989761
504,-42.02952957,-43.66011047
505,-39.72061157,-41.04525757
506,-37.07837296,-38.02338028
507,-34.03596497,-34.56419563
508,-30.92803574,-30.71611214
509,-27.77910805,-26.59639359
510,-24.30410957,-22.28478909
511,-20.17364693,-17.89644337
512,-15.952631,-13.58838654
513,-12.08542919,-9.621247053
514,-7.706292629,-6.423972368
515,-2.973063707,-2.995509148
516,1.183992624,1.083442688
517,5.307844639,4.436816216
518,6.844089985,7.131082535
519,6.174879074,8.404331207
520,5.596837997,7.950759888
521,4.822844028,8.281093597
522,5.418886185,8.902921677
523,5.91555357,9.102115631
524,6.196940899,8.715105057
525,6.496360302,8.107540131
526,6.55644083,7.909098625
527,6.448898792,7.512887955
528,7.255084991,6.545859337
529,7.259527206,5.354824066
530,7.277047634,4.517626762
531,6.949221134,3.64160347
532,6.473051071,2.789614677
533,5.764034748,2.229642868
534,4.653661728,2.103096008
535,3.50437355,2.300554276
536,3.066757202,2.201914787
537,3.015648603,1.605886459
538,2.605338573,0.606581688
539,2.140236139,-0.552782536
540,2.128866196,-1.59762001
541,2.135174513,-2.441800594
542,1.651805401,-3.187425137
543,1.05935061,-4.131122112
544,0.462030023,-5.08070159
545,-0.421809345,-6.03072238
546,-1.641037107,-6.895382404
547,-2.688750982,-7.834584534
548,-3.584105968,-8.846178532
549,-4.471229076,-9.97408092
550,-5.334994316,-11.14281082
551,-6.15967226,-12.13581324
552,-7.103259563,-13.03036404
553,-8.065907478,-13.87228775
554,-8.854970932,-14.67301083
555,-9.484674454,-15.36363316
556,-9.943451881,-16.02181721
557,-10.58588886,-16.60619831
558,-11.53139973,-17.17787552
559,-12.56254673,-17.79009056
560,-13.56262493,-18.328228
561,-14.68043804,-18.7968998
562,-15.68274593,-19.18637085
563,-16.50366402,-19.54879761
564,-17.09070396,-19.9155302
565,-17.51528358,-20.21187687
566,-17.96348953,-20.39677715
567,-18.42062187,-20.45487976
568,-18.85788536,-20.44796562
569,-19.1825428,-20.53131104
570,-19.39844131,-20.86611462
571,-19.19422531,-21.33037376
572,-18.88192558,-21.72861195
573,-19.11494064,-21.85215378
574,-19.27873993,-21.97275925
575,-19.45139122,-22.06272507
576,-19.62282562,-22.09505558
577,-19.75115967,-22.0150547
578,-19.708498,-21.7734375
579,-19.26789474,-21.44921589
580,-18.75835991,-20.90776253
581,-18.17440033,-20.29302216
582,-17.49327087,-19.66347504
583,-16.64205933,-19.01200867
584,-16.02243805,-18.21394157
585,-15.42601967,-17.31388569
586,-14.75915623,-16.61803627
587,-13.85605621,-16.1976881
588,-12.72128868,-15.91003895
589,-11.18965816,-15.46881294
590,-10.12898636,-14.33431673
591,-9.167993546,-13.20768785
592,-8.10081768,-12.60665989
593,-7.005531311,-12.01033401
594,-6.153927326,-11.48730397
595,-5.547855854,-11.13733053
596,-5.1332798,-10.86882663
597,-4.832483768,-10.60368824
598,-4.675357819,-10.43140888
599,-4.653985977,-10.3047142
600,-4.676491737,-10.3338809
601,-4.786248207,-10.33249712
602,-5.018873215,-10.38423228
603,-5.36593771,-10.48023295
604,-5.828875065,-10.56890535
605,-6.376832485,-10.78143501
606,-7.052022457,-11.15035462
607,-7.864863873,-11.7921288
608,-8.956048965,-12.79901361
609,-10.44221401,-14.19257784
610,-12.32627678,-16.05394077
611,-14.74777699,-18.48962402
612,-17.75477219,-21.26234722
613,-20.98865318,-23.99449635
614,-24.32377625,-26.83962631
615,-27.39847183,-29.39735985
616,-30.63511276,-32.13652992
617,-33.24026871,-34.67725372
618,-34.76206207,-35.98633194
619,-34.92467499,-36.07698441
620,-33.91347885,-34.96610451
621,-32.012146,-32.83061218
622,-29.47680473,-30.14498711
623,-26.7768383,-27.62594604
624,-24.5664959,-25.49328804
625,-22.91034317,-23.80450153
626,-21.54286003,-22.64315414
627,-19.81133461,-21.8363781
628,-17.8442955,-21.22713566
629,-16.5550499,-20.30765152
630,-15.61540604,-19.15187931
631,-14.27112961,-17.94175816
632,-12.311409,-16.95232201
633,-9.786376953,-15.27732611
634,-7.441277981,-13.03956985
635,-6.234362602,-10.42193699
636,-4.881400585,-7.557630718
637,-3.428353786,-4.937098265
638,-1.618176937,-2.876543999
639,0.473445714,-1.141878128
640,2.338704824,0.950668335
641,4.077154636,3.383478165
642,5.795785427,5.751111984
643,7.492529869,7.870779991
644,9.16254425,9.637857437
645,10.80129433,11.08653641
646,12.37266064,12.5848217
647,13.8159523,14.0375061
648,15.10190201,15.24639511
649,16.24632835,15.91958046
650,17.02472115,16.01917076
651,17.36533928,15.62614441
652,17.28803635,15.04676819
653,16.7716217,14.57745171
654,16.01192665,14.23218727
655,15.26925182,13.98841095
656,14.76961136,13.8409214
657,14.38452911,13.55221558
658,13.89889812,12.99131203
659,13.06712437,12.13087273
660,11.8053875,10.93495369
661,10.04291344,9.375162125
662,7.61914444,7.472381592
663,4.584140778,5.327931404
664,1.127376199,2.926113129
665,-3.121995211,0.008666039
666,-7.74933815,-3.268083572
667,-11.93946552,-6.510751963
668,-15.28159046,-9.458837509
669,-18.32672119,-12.2475872
670,-21.23306656,-15.05192232
671,-23.16198921,-17.64525604
672,-24.07410431,-19.67230606
673,-23.99802971,-21.00121593
674,-22.81278992,-21.65194225
675,-21.32979012,-21.86549473
676,-19.93857956,-21.6853447
677,-19.18053055,-21.38366222
678,-18.93400955,-21.24112225
679,-18.90859604,-21.19651794
680,-18.94321823,-21.22903538
681,-19.18196106,-21.26704216
682,-19.31549072,-20.97947979
683,-19.57927132,-20.44895363
684,-20.22713089,-19.90513611
685,-21.30152321,-19.79755211
686,-22.37249756,-20.04159927
687,-23.34477615,-20.35875225
688,-23.4943428,-20.42729664
689,-22.64305496,-20.39213848
690,-20.98929214,-20.26805973
691,-19.53626823,-19.82141876
692,-18.56977463,-18.8486042
693,-17.39711761,-17.66884327
694,-16.00449181,-16.42506027
695,-15.20923615,-15.27054358
696,-14.83045292,-14.22563601
697,-14.4696312,-13.09397697
698,-13.72179317,-12.06179905
699,-12.95693493,-11.24784803
700,-12.21706772,-10.74664474
701,-11.44025517,-10.32350373
702,-10.74157047,-9.686063886
703,-10.05150318,-9.11328423
704,-9.440453529,-8.857847571
705,-8.964425087,-8.99437952
706,-8.583034515,-9.399809837
707,-8.292105675,-10.00338173
708,-8.062166214,-10.61840916
709,-7.90053463,-11.14523888
710,-7.741553307,-11.50264645
711,-7.713595867,-11.83098316
712,-7.802554607,-12.20698309
713,-8.009062767,-12.55125999
714,-8.250981331,-12.78799105
715,-8.400336266,-12.87014151
716,-8.411008835,-12.90438843
717,-8.41095829,-12.98952484
718,-8.608708382,-13.18493319
719,-9.041944504,-13.50073957
720,-9.735451698,-13.90747261
721,-10.74508572,-14.32220411
722,-12.10997868,-15.13763237
723,-13.66665077,-16.63383675
724,-15.57244873,-18.37074471
725,-17.78958321,-20.31042862
726,-20.14337158,-22.18294239
727,-22.68872452,-24.08311081
728,-25.34498405,-26.28144836
729,-28.22687912,-28.59832382
730,-30.79815674,-30.91919518
731,-32.99497604,-32.96327972
732,-34.61078644,-34.42803383
733,-35.63817596,-35.08016396
734,-35.94334412,-34.6275444
735,-35.02179337,-33.2027626
736,-32.82914734,-31.22468567
737,-30.6614399,-29.31331444
738,-28.61556435,-27.88108253
739,-26.95124435,-26.70519066
740,-25.55593872,-25.88406181
741,-24.25942612,-25.14586449
742,-23.00494957,-24.48799896
743,-21.97193527,-23.98162174
744,-20.883955,-23.08116722
745,-19.34722328,-21.40816021
746,-17.44005775,-19.03753376
747,-15.57571507,-16.66460228
748,-13.5480032,-14.3624177
749,-11.13383865,-11.76165533
750,-8.082102776,-8.565692306
751,-4.759581566,-4.998513937
752,-1.58475697,-1.757715225
753,1.403246522,0.647349358
754,4.353108406,2.696171761
755,7.178995132,4.928798676
756,9.421521187,7.480429649
757,10.74905396,10.01436043
758,11.34628963,12.06666565
759,11.79123116,13.56690598
760,12.3616724,14.76504326
761,13.19088364,15.95271492
762,14.01593113,17.10612869
763,14.75132847,18.00278664
764,15.35188484,18.60314751
765,15.74125576,18.92179489
766,15.95261097,18.9989357
767,15.95885468,18.77493095
768,15.69968987,18.18188667
769,15.15515327,17.28636551
770,14.40065193,16.13492393
771,13.51308823,15.08366776
772,12.44812965,14.0911808
773,11.44465828,12.84209061
774,10.8522644,11.26163101
775,10.25200462,9.383298874
776,9.123261452,7.181134224
777,7.150708199,4.489473343
778,4.34685564,1.491340637
779,1.033706427,-1.847824097
780,-2.465879679,-5.289124012
781,-5.958983898,-8.602775335
782,-8.99201107,-11.79948401
783,-11.47411537,-14.85569096
784,-13.26387882,-17.57482719
785,-14.43173695,-19.84515095
786,-15.28099823,-21.71372414
787,-15.92111301,-23.03438187
788,-16.14283943,-23.79848003
789,-16.32058716,-24.25717163
790,-16.41674614,-24.69301414
791,-16.43552017,-25.26519012
792,-16.55160522,-25.85286522
793,-16.92649651,-26.14984131
794,-17.57494545,-26.11218071
795,-18.57456398,-25.84975433
796,-19.74191475,-25.65082169
797,-20.98454666,-25.53843307
798,-22.16460609,-25.40909767
799,-22.71567726,-25.09841728
800,-22.57431221,-24.62985802
801,-21.82051086,-24.03454399
802,-20.49268341,-23.17231274
803,-18.94791031,-22.11276054
804,-17.39653015,-20.77843857
805,-16.18637466,-19.14717102
806,-15.15972424,-17.43652248
807,-14.15109444,-15.97345972
808,-12.96218586,-14.98458242
809,-11.6307888,-14.460464
810,-10.46698856,-14.12714243
811,-9.68493557,-13.82843351
812,-9.411883354,-13.69038248
813,-9.289018631,-13.44927883
814,-9.182499886,-13.00992441
815,-8.975925446,-12.72947836
816,-8.634910583,-12.58684635
817,-8.405809402,-12.52059889
818,-8.368574142,-12.46381092
819,-8.607585907,-12.43390512
820,-8.857143402,-12.43386269
821,-8.993655205,-12.46509123
822,-9.06473732,-12.41478348
823,-9.141100883,-12.39563227
824,-9.339004517,-12.39425945
825,-9.665355682,-12.48991919
826,-9.926535606,-12.63280058
827,-10.17878628,-12.80768156
828,-10.38651752,-12.86303616
829,-10.54486465,-12.98894548
830,-10.88393974,-13.27945185
831,-11.5728178,-13.79108381
832,-12.63324165,-14.57480288
833,-14.04942703,-15.68534756
