PacketCounter,Left_Hip,Right_Hip
499,-53.80330658,-73.08553314
500,-53.50965881,-72.95941162
501,-53.28499222,-72.85221863
502,-53.10592651,-72.82059479
503,-52.88538361,-72.79837799
504,-52.57578659,-72.67602539
505,-52.15765762,-72.37979889
506,-51.88207245,-71.94882965
507,-51.66572571,-71.46533203
508,-51.69526291,-70.95015717
509,-51.85876083,-70.52635193
510,-51.96152496,-70.21385956
511,-51.71422195,-69.679245
512,-51.03852463,-68.95381927
513,-50.34179306,-68.08352661
514,-49.70924377,-67.06515503
515,-49.43206024,-65.85233307
516,-49.02651596,-64.22675323
517,-48.1629715,-61.97962952
518,-46.72656631,-59.37637711
519,-44.80541229,-56.96234894
520,-42.65449524,-54.84763718
521,-40.33906174,-52.47066498
522,-37.82040405,-49.45075989
523,-35.30270767,-45.92449951
524,-33.21164322,-42.21725464
525,-32.66061783,-38.63349533
526,-31.96027565,-34.78326416
527,-32.70169067,-30.71222305
528,-25.96439362,-26.9934063
529,-31.62059975,-25.00353432
530,-37.45139313,-24.84468269
531,-39.3567543,-21.05949211
532,-39.40829849,-18.56321716
533,-37.32147598,-15.38126373
534,-35.64823151,-12.92005157
535,-34.57282257,-11.61233234
536,-31.98070526,-10.51848125
537,-26.90623856,-9.984251976
538,-15.50144958,-8.684027672
539,-9.506175041,-7.584403515
540,-8.685344696,-7.62397337
541,-7.782495022,-8.531495094
542,-7.957436085,-7.40720129
543,-8.515236855,-6.112028599
544,-8.933129311,-5.172924042
545,-8.866103172,-4.709449768
546,-8.472417831,-5.292032719
547,-8.70297718,-6.276620865
548,-9.284399033,-7.051432133
549,-10.21145153,-7.732027054
550,-11.01130676,-8.533641815
551,-11.5197134,-9.848359108
552,-12.31201458,-11.48170567
553,-13.34216595,-13.45115757
554,-14.82759953,-15.69337082
555,-16.80085945,-18.16145897
556,-19.06374741,-20.90165138
557,-21.53189087,-23.8506279
558,-24.30135536,-26.79020882
559,-27.22129059,-29.96761322
560,-30.23929977,-33.39546967
561,-32.83565521,-36.9907341
562,-35.11572266,-40.20790863
563,-37.10899734,-43.23018265
564,-36.65800858,-45.60037231
565,-34.69617462,-45.15829468
566,-32.75450897,-42.46878815
567,-31.12844467,-39.02351379
568,-29.7707901,-35.94572067
569,-27.96505928,-33.6633873
570,-24.43567467,-32.4281311
571,-21.11243248,-29.18890572
572,-18.2012825,-25.60143471
573,-16.46954346,-22.86532021
574,-13.04883957,-20.4312191
575,-8.012644768,-18.3166008
576,-7.093774796,-16.27315712
577,-9.698525429,-14.26303673
578,-8.289116859,-12.47015858
579,-6.030773163,-10.97600746
580,-3.904896021,-9.027853966
581,-2.581071854,-7.149506569
582,-2.474506617,-6.672828674
583,-3.653812408,-6.73230505
584,-3.931251287,-7.055464745
585,-4.206946373,-7.418563843
586,-5.164184093,-8.020700455
587,-6.84033823,-9.040931702
588,-8.87030983,-11.25405407
589,-11.26777935,-13.88210106
590,-14.04628277,-16.67840385
591,-17.21315956,-19.79091644
592,-20.65367317,-23.57348251
593,-24.62107658,-27.58344841
594,-29.01346588,-31.73653603
595,-33.13672638,-36.43317795
596,-36.93145752,-40.67344666
597,-39.13670731,-43.76551437
598,-39.89117432,-46.06969833
599,-40.26765442,-47.01862335
600,-39.26690292,-46.3852272
601,-37.56020737,-43.61844635
602,-36.2389183,-39.82173157
603,-34.24193573,-36.67453384
604,-30.74096107,-35.03105927
605,-27.55669975,-32.87261963
606,-24.89412689,-30.05849075
607,-22.6088829,-27.37470818
608,-20.09934235,-25.27366638
609,-16.47518158,-24.38489342
610,-12.31192398,-23.51524925
611,-11.66238499,-21.58447647
612,-11.64757347,-18.60153961
