PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
598,3.027243376,-1.30659914,9.790280342,-7.946088314,41.30060196,1.382569313
599,3.845680237,-0.087491266,8.456448555,3.568930864,22.60733414,1.359422088
600,5.091871738,0.22057344,7.749114037,-1.937173843,17.63281441,4.779270649
601,5.540503025,-0.671167076,7.731556416,-9.763591766,20.56344986,12.86783886
602,5.053333759,-1.590432167,8.455486298,-14.31889629,31.56427193,14.40182304
603,4.302199841,-1.794492841,8.833847046,-12.31405067,48.74637222,7.616760731
604,4.099215031,-1.116699219,9.659496307,-12.37959385,57.47464371,-3.287193298
605,3.824369669,0.5578807,9.428178787,-13.76050758,46.36833954,-7.188604355
606,3.680058002,0.928486764,9.067869186,-20.16836929,29.14120102,-3.535035849
607,3.845341921,-0.141098902,9.64659977,-34.29105759,16.5041256,-0.338902563
608,3.96330142,-1.153234363,9.333849907,-64.93077087,14.91555691,1.571811914
609,3.793295145,-1.665332675,8.923407555,-70.48116302,2.788567305,4.258685112
610,3.69607687,-1.400978446,8.532271385,-69.86475372,-13.76975822,8.783240318
611,4.12368536,-0.565382957,8.387763977,-78.9352417,-19.71656799,12.94838524
612,4.782859325,-1.380451679,8.515704155,-101.2720337,-16.07775688,15.19036674
613,4.484510899,-2.369976997,8.582680702,-117.6860199,-13.151577,19.02906036
614,4.314350605,-2.483098984,8.530215263,-124.379921,-18.36071587,25.35621452
615,4.811676979,-3.11899662,8.116404533,-128.9920654,-30.03446007,27.0339222
616,4.71465826,-3.773919106,8.019798279,-133.8004456,-30.71505356,28.81873322
617,5.027024746,-3.544169188,7.891705513,-148.4206848,-27.25030708,31.07567406
618,5.233431816,-2.195835114,6.125238419,-153.0768585,-38.29789352,33.86615753
619,5.435533524,-2.24535656,4.912690163,-149.3413391,-55.38405609,38.29558182
620,5.736762524,-4.836194515,5.308820724,-174.9563751,-50.61668015,39.55960846
621,5.691529274,-6.915487289,5.10414505,-227.7640381,-26.49302483,39.77900314
622,4.49433136,-4.998289585,3.291499376,-247.3927917,-22.98200035,51.19797897
623,4.135831833,-5.021814346,2.399524689,-239.9559631,-30.39841652,58.67086029
624,4.722041607,-7.595002651,2.207062721,-247.7610931,-38.5426178,57.56652832
625,4.969303608,-9.080586433,2.637854338,-255.3046112,-32.79529572,58.18365097
626,5.30909586,-8.733023643,2.28954649,-253.8394165,-24.69569778,59.65746307
627,4.649988651,-8.170730591,0.934364319,-246.8450623,-10.54531002,62.22468567
628,3.743405104,-9.222846985,0.479430258,-245.8936462,7.611082077,66.20436859
629,2.82668519,-11.37369823,1.109742999,-247.4160309,5.076366425,70.48901367
630,3.366075993,-11.24972725,1.239961147,-242.7247925,-2.270261526,67.83463287
631,4.354013443,-10.47033501,1.105322838,-224.9129181,-17.7391758,68.72013855
632,2.917864561,-9.933742523,0.998529911,-196.4562073,-27.04507065,64.73936462
633,2.27556324,-8.805636406,-0.232959524,-166.00177,-31.90503693,64.48467255
634,2.036995411,-7.137684822,-2.217856169,-139.1811371,-33.21385193,60.16725159
635,2.022532225,-8.51928997,-3.792954922,-149.0951996,-23.64644241,63.51266098
636,1.635613203,-10.12398338,-2.396393538,-176.3978729,12.39558315,57.0288887
637,0.702239096,-9.670679092,-2.316048622,-191.3589325,16.41125679,56.01541519
638,1.071955085,-9.153851509,-3.663036346,-166.1742859,0.406773537,54.56114197
639,1.570247889,-9.247027397,-2.476975918,-155.1000977,12.08495617,58.86067963
640,0.88611716,-8.6697855,-2.327179193,-168.959198,8.601742744,58.95619202
641,0.597036183,-8.050303459,-5.277267933,-170.7303619,-0.913192809,62.04930496
642,-0.29244864,-8.826108932,-5.008362293,-173.6464691,22.91199112,71.55116272
643,-0.596824944,-8.623723984,-3.616428137,-204.0690918,27.75853348,75.88269806
644,-0.379621863,-8.702198029,-4.757370472,-218.0370026,3.281930447,72.50911713
645,-0.134298727,-8.988555908,-5.208502293,-199.1580811,-7.813156128,72.41511536
646,-0.407605231,-9.310027122,-5.178350449,-188.1422729,-8.824495316,67.92150116
647,-0.874714613,-8.53537941,-4.741726875,-198.444931,-1.045261145,64.88174438
648,-1.443651795,-7.571635246,-6.76568079,-207.219162,-22.32132912,66.18634796
649,-1.452605367,-6.604872227,-8.43775177,-181.8134308,-33.97746658,63.57570267
650,-1.247215748,-6.431044102,-8.296002388,-166.2370911,-32.05345154,54.63521957
651,-0.498979479,-6.146637917,-8.139026642,-156.4707184,-41.72849655,45.98929214
652,0.681785643,-6.740165234,-7.77220583,-151.0005951,-37.27412033,40.61473465
653,1.198502541,-6.38131094,-7.75659132,-151.1932678,-31.11102676,35.62601852
654,0.666127801,-6.779937267,-8.1575737,-154.1721344,-27.37348366,31.27625656
655,0.185884923,-6.690570831,-9.015365601,-155.4381866,-35.12038422,20.32889938
656,-0.538794398,-6.360636234,-10.12687302,-145.976593,-49.56015015,12.33612347
657,-0.737100065,-5.441928864,-11.23630238,-124.6847382,-52.21362305,8.510594368
658,-0.698053718,-4.956772804,-9.282191277,-115.4287491,-43.37319946,7.550229549
659,-0.581547141,-4.57510519,-7.440014839,-118.4028625,-46.9209404,10.53564167
660,-0.747120798,-4.176695347,-7.418577194,-116.2543259,-62.78783417,15.94844055
661,-0.484614879,-3.814684629,-8.20142746,-105.6482925,-73.29037476,15.25796986
662,0.102074496,-2.96443367,-9.047771454,-100.0821762,-65.77073669,6.878107548
663,0.860093176,-3.035962105,-8.414260864,-99.26953125,-55.85774231,-1.945168495
664,0.767547131,-3.941493034,-7.395266533,-99.04040527,-42.2949295,-6.439770222
665,0.554214954,-3.833242893,-8.463338852,-84.2580719,-33.95209122,-10.96537495
666,0.351752669,-4.09260273,-9.92493248,-46.2179718,-35.86727905,-24.73056793
667,-0.177435815,-3.336889505,-10.6336689,7.074228287,-41.72192001,-33.22854614
668,-0.216744453,0.41068086,-9.619481087,23.53607941,-42.46657181,-26.64835548
669,-0.618413806,2.189296961,-8.817993164,-0.214724883,-32.146595,-5.253492355
670,-0.717989206,1.368841529,-8.301879883,-30.48973846,-15.99587631,4.856374264
671,-0.300032705,0.765109301,-8.318628311,-38.87345123,-10.91029549,10.96562672
672,-0.288216412,0.944487929,-8.50818634,-37.4198494,-6.722092152,14.20951557
673,-0.699721992,1.103004694,-8.499153137,-44.02089691,-0.291308254,16.27127838
674,-0.810578763,0.531207621,-8.397880554,-57.49376678,3.906773567,15.94052792
675,-0.895855963,0.134632513,-7.915032387,-63.77254105,3.215268373,15.0041256
676,-0.299912751,1.082815528,-7.138203144,-66.04270172,-8.874591827,18.32360268
677,0.408310533,1.620518923,-8.271524429,-80.16107178,-6.60385704,20.34126091
678,-0.067452461,1.565603256,-9.33406353,-79.29550934,-0.106769122,24.19939232
679,-1.021562815,2.36076498,-10.42019176,-91.03510284,-7.088435173,33.35108948
680,-1.066865563,2.67061758,-10.62057209,-103.2236023,1.468496799,39.85870743
681,-2.137799501,2.814162254,-10.95276356,-104.7530518,12.61896896,41.73706055
682,-2.33855772,2.595026493,-11.32359791,-97.18968964,21.83397293,37.77314758
683,-1.713421941,2.350455523,-10.30164433,-95.39428711,38.8547287,34.56484604
684,-1.814463854,2.949958324,-9.231734276,-107.0296478,40.52039337,38.67974472
685,-1.798100948,3.255202055,-8.722703934,-121.1635132,31.88138771,42.86198807
686,-1.032880664,3.340330362,-7.777760029,-146.9519806,42.85968399,46.76005936
687,-0.761690617,4.632928848,-7.923892498,-175.6959686,39.39395905,50.32004929
688,-0.973476529,4.60668087,-8.6967659,-189.1510773,31.92663765,51.16148758
689,-0.451461375,5.023831844,-9.092985153,-188.1755524,24.84443855,47.38026428
690,-1.107721448,6.632874489,-9.036614418,-174.4185486,17.42602921,44.67525864
691,-1.951350451,7.595870495,-9.028772354,-173.4804993,14.61579609,42.9731636
692,-1.532403708,7.140191555,-8.675239563,-183.2518768,12.71525288,37.9083786
693,-0.909097433,6.071996689,-7.591590405,-186.5596771,7.994130135,33.9817543
694,-0.544994831,6.282696247,-6.8171525,-187.1192322,1.918959856,28.24115944
695,-0.507357955,6.291500568,-6.472703934,-162.9354858,-7.455761909,21.62763023
696,0.033319835,6.082668781,-6.094441891,-131.8375397,-17.3623333,16.08984566
697,0.473018229,5.628561497,-5.460831642,-109.4049149,-19.57089233,16.37530327
698,0.441277385,5.683292389,-4.884018898,-82.07455444,-28.71264458,19.88384628
699,0.436798662,6.124684811,-4.00617218,-60.62331772,-39.31500626,21.36720276
700,1.287662745,7.055308342,-4.823580742,-54.34093094,-51.2830162,18.32560921
701,2.143281937,7.260083675,-5.562741756,-41.48477936,-60.79795837,15.5240078
702,0.99368453,7.317289829,-5.388420105,-24.01977348,-49.21817398,10.94868279
703,-1.238217831,6.990343094,-5.583777905,-2.283270836,-41.02428818,7.564007759
704,-2.262887955,6.016320705,-7.012784481,35.38515854,-51.45225906,9.389894485
705,-0.985285819,5.620310783,-6.531130791,64.0078125,-38.10437775,4.723490238
706,0.869281709,4.401662827,-2.416552067,40.11319733,19.8684864,-20.73365974
707,1.730053067,5.883236885,-1.606090546,9.310274124,25.65922546,-44.90381241
708,0.82625103,9.548537254,-6.119311333,76.33071899,-27.06996727,-34.2711525
709,-0.147122338,9.237235069,-4.56529808,131.0258331,-51.91183472,-12.77842426
710,0.206467122,7.094493866,-2.177652359,57.16346741,-32.18908691,-8.513881683
711,-0.089424409,7.52473402,-6.208738327,40.01725388,-27.11680794,-16.51714134
712,-0.265288979,7.150262833,-7.396320343,108.2858124,-36.30369186,-23.15571785
713,-0.536373794,6.335591793,-7.608046055,142.5987854,-47.42543793,-19.84510994
714,-0.21518597,4.855147839,-7.660512924,134.4598083,-47.33158875,-25.52098274
715,-0.042878479,6.150177956,-8.158635139,112.7724457,-30.62774658,-34.211586
716,-0.688807905,7.942799091,-8.467896461,103.7147522,-19.13446808,-31.61324692
717,-0.460608691,8.198789597,-8.823943138,81.19901276,-10.88541794,-28.34156418
718,-0.074242994,6.670784473,-8.466220856,53.62234497,-12.2658186,-28.7093029
719,0.150019228,6.056560516,-8.122085571,22.23267365,-10.66632366,-22.98073959
720,-0.521802127,6.549101353,-8.8804245,4.948849678,-16.52474213,-13.80569077
721,-1.550219774,6.804456711,-10.42859459,16.27158546,-19.44441032,-3.069804192
722,-1.858561516,6.230182648,-10.55202866,18.95484161,0.058608346,5.978339195
723,-0.809579611,5.595221043,-9.045737267,15.11617851,35.40998459,5.816720486
724,-0.618263304,4.057787418,-5.898483753,8.204088211,72.79107666,-1.506810784
725,-1.350082397,4.546406269,-4.943857193,2.673493862,70.46130371,-4.470839024
726,-2.416372299,5.315804482,-6.913969994,12.2708416,30.56716347,1.726808548
727,-2.104844093,4.64682436,-8.593884468,27.45307732,-4.25976181,-0.810503244
728,-1.788035393,4.163680553,-9.072446823,41.19093323,-13.89234352,-5.320254326
729,-0.944420159,2.040832043,-7.721242905,43.18168259,6.15737009,-12.97456646
730,-1.891236424,2.901711464,-7.732134819,59.81949997,7.970034122,-18.66923141
731,-2.509004354,4.230164051,-8.241897583,79.96618652,-7.696211815,-18.96675873
732,-2.330054522,3.541289568,-7.830184937,71.17319489,-14.02958107,-18.54393387
733,-1.953513145,2.21916604,-7.318775654,59.61229324,-8.646992683,-17.8988533
734,-2.131360531,2.678488255,-7.266443253,56.04718018,-2.97879529,-22.86828613
735,-1.952795029,4.093868732,-7.377109528,55.88775253,-10.16525841,-20.91202545
736,-1.577490091,4.065623283,-7.706204891,48.26055145,-17.38958168,-20.77944756
737,-1.233389854,3.85796237,-6.795291424,43.758461,-10.72230053,-22.4840126
738,-0.879535079,2.797834158,-6.530871868,37.30600357,-0.878854334,-21.66851044
739,-0.174933076,1.291223168,-6.828133106,45.84512711,2.262577534,-25.65655708
740,0.206991732,1.388595462,-8.101303101,69.24712372,-3.192675829,-32.05409622
741,-0.428014398,1.416827559,-8.617186546,92.09326935,0.29834038,-32.99528885
742,-2.007191896,1.242331505,-8.575370789,87.25402832,6.088918686,-31.37004089
743,-3.619765997,0.886478066,-9.731223106,93.62688446,4.446122169,-38.78854752
744,-4.389323711,0.944853425,-11.15055561,123.5270615,11.46413422,-45.39087296
745,-2.910585642,-0.211809576,-9.005141258,158.1123352,12.3631649,-52.0597496
746,-2.080708504,-1.873553753,-6.734603882,162.3530121,23.61038971,-64.02251434
747,-1.772798538,0.10536918,-7.540873051,181.8197479,19.82938957,-71.54827118
748,-1.743862391,0.467387438,-9.149056435,233.0567627,20.64222908,-70.37306976
749,-1.225711346,-2.215389013,-9.626977921,251.4145966,5.321314335,-66.24303436
750,-0.774872005,-3.368054867,-10.53465271,252.7669983,-9.630336761,-62.7416687
751,-1.328680277,-3.440868378,-10.4685421,224.4160309,-4.376383781,-55.91518402
752,-2.118962765,-2.837913513,-10.63888741,181.7470856,13.54078865,-47.13205719
753,-2.703041315,-1.681393147,-10.19734097,173.0381775,18.41566277,-47.11359024
754,-1.916743279,-2.095582724,-9.25681591,168.2909241,18.56940651,-50.60107803
755,-1.613968492,-2.31071806,-8.115103722,157.7649078,27.33883667,-51.68794632
756,-1.220615149,-3.675266981,-8.805861473,125.6723022,17.39518929,-46.28988266
757,-0.985558391,-3.814445972,-9.333078384,102.6061249,16.65772057,-44.79755402
758,-1.708481669,-3.056766272,-9.967589378,91.12638092,13.18738461,-34.27328873
759,-1.361145973,-3.660886526,-10.11110973,68.9903183,6.276141644,-20.04363823
760,-1.634281158,-4.692149639,-8.49907589,41.66756439,10.69491768,-7.384446144
761,-1.584472537,-4.880678654,-7.281925678,-2.209050655,6.604005337,5.995049953
762,-2.568125486,-3.466110468,-7.21420002,-11.79200554,-2.091933727,18.56270218
763,-2.619047403,-2.676329374,-6.378825665,-28.46668625,-5.037989616,20.84858322
764,-3.271315575,-3.185065985,-8.599681854,-58.88280106,-18.6984539,23.61016846
765,-2.335675716,-3.139703751,-9.455327988,-81.43332672,-34.39070892,27.83036423
766,-1.149518251,-2.037403107,-7.633757114,-126.6463547,-37.92677307,36.11978531
767,-1.889607191,-2.069396973,-8.36196804,-189.3470154,-34.96194458,43.28390121
768,-2.757838011,-3.74593091,-9.66337204,-195.4731293,-25.37624741,52.35509491
769,-1.914405584,-5.066099167,-10.17438507,-166.0134125,-38.44169235,53.89733887
770,-1.452916145,-3.840178967,-10.50641537,-156.503006,-35.72083282,56.5760498
771,-2.665902138,-2.26277566,-10.24162674,-164.5405579,-27.30744362,60.41605759
772,-3.040139914,-3.327044725,-10.35649395,-154.1326752,-25.77802849,61.54571533
773,-1.620352268,-4.524932861,-10.54645443,-118.537262,-25.54253578,53.41360092
774,-0.145197108,-3.506274462,-11.42947006,-80.98623657,-25.20617867,40.93103409
775,0.84096837,-3.059470892,-11.72776699,-46.20201111,-27.2606411,30.60700417
776,1.163440108,-2.095337629,-10.2294178,-24.76664543,-28.03446198,21.91148186
777,0.715051353,-1.257117867,-8.627821922,-38.58908463,-20.99693298,13.21883106
778,0.488346905,-2.210393667,-9.986534119,-42.38756561,-10.14704514,7.52639389
779,-0.629605472,-4.060580254,-11.65997601,-26.3476696,11.81611347,-5.253525734
780,-1.745419264,-2.299593449,-11.05852985,22.03938675,32.68488693,-24.07657814
781,-2.13456583,0.683281958,-9.23984623,25.56253624,38.79483795,-24.2474575
782,-0.750788212,0.35694015,-6.774466038,-11.61866951,41.37760544,-14.47261047
783,0.046336085,-1.585690856,-6.684402466,-31.17967033,28.51451111,-20.08573723
784,-0.273035169,-0.904187143,-8.126041412,-21.64752197,19.40482712,-28.72769356
785,-0.123998538,0.954832137,-9.422308922,0.127609164,7.476664066,-23.94717026
786,-0.789070129,2.633930206,-9.672199249,2.608046293,2.747750998,-10.09056282
787,-1.765352011,2.522503614,-9.209023476,-23.84180832,7.800216198,-0.029096089
788,-3.324216127,1.057705998,-9.523514748,-22.93758202,10.43331242,-3.930482864
789,-2.854723215,1.751351833,-9.453761101,-11.14214516,4.685455322,-5.210483551
790,-1.773765922,2.739245415,-8.879172325,-29.49412918,-0.377583623,2.861363888
791,-1.524721146,1.964054465,-8.56625843,-50.26551819,-0.472289652,4.994681835
792,-2.422494888,1.310054302,-8.347028732,-55.33847809,-2.501863003,3.128862619
793,-2.911120415,1.570904732,-8.214409828,-56.55047989,0.966461539,7.408642292
794,-2.457230091,0.82047689,-8.562294006,-57.80206299,-4.024009705,14.13515186
795,-1.802616954,0.003796101,-9.337928772,-46.94651794,-15.47054577,20.67570877
796,-1.740296602,-0.639796853,-8.674576759,-33.71754837,-14.93793774,23.08485985
797,-2.191705227,0.283410013,-8.003047943,-32.63318634,-6.218457699,27.84477806
798,-2.090826511,1.0526191,-8.242144585,-37.12134171,-10.32357788,29.64818192
799,-1.687743545,1.60256207,-8.146673203,-48.18418503,-8.000144005,31.54922104
800,-1.837158442,2.349357128,-8.596119881,-70.99665833,-2.024421215,35.1725235
801,-2.1506567,2.983586788,-8.847747803,-90.23068237,11.60946369,38.69538879
802,-2.583239555,3.814526558,-9.070583344,-102.5713882,14.07178497,42.286129
803,-2.273142099,4.856102467,-9.406496048,-102.333847,7.4103899,52.35734558
804,-1.930662394,4.778095722,-8.367862701,-126.2021332,7.959648132,59.0172348
805,-1.885291815,3.530166149,-7.720785618,-162.243454,9.696762085,60.99242783
806,-0.981360912,3.586720228,-7.642049789,-184.424881,0.235418484,61.72793961
807,-1.23735106,3.557272911,-7.607538223,-191.97966,-5.970066071,63.26488876
808,-2.355946541,3.812630177,-8.514245987,-187.8929138,-15.93902683,64.25186157
809,-2.574623108,5.995475769,-8.980149269,-180.2486877,-26.65483284,68.72981262
810,-2.241499662,6.926886082,-8.762616158,-176.4236755,-25.80606461,71.42576599
811,-2.264980793,6.903419495,-7.892609596,-177.7293549,-22.78136635,72.05129242
812,-1.861372948,6.590274811,-7.482848644,-178.8258209,-11.83613873,68.29909515
813,-1.219336152,5.519210339,-7.48342371,-175.3858643,-2.204378366,57.50836182
814,-0.583479106,4.625904083,-6.821554184,-171.6598511,10.37389755,49.5041275
815,-0.976166964,5.101774693,-6.335107327,-153.9658508,12.23288345,47.04260635
816,-1.358786345,6.219344139,-5.446092129,-127.0461349,3.35069561,44.94832611
817,-0.774236143,6.538707733,-4.565279007,-110.4110947,-14.13616848,40.62496185
818,-0.09588097,6.790214539,-5.629498482,-75.31568146,-37.87168121,36.31343079
819,0.296273053,7.142013073,-5.77985239,-21.35774422,-53.8743782,30.96104622
820,-0.220022991,7.186090946,-4.462583065,1.382220745,-44.4865303,22.31925964
821,-1.255329967,7.07586956,-3.873234034,8.05305481,-24.26323891,7.369156837
822,-1.74299109,7.07600975,-5.291887283,22.3061676,-15.49797821,-4.513264179
823,-1.539818406,6.709610939,-6.786211967,67.21858215,-22.43357277,-10.77769947
824,-0.458805591,7.536935329,-5.050037861,92.78704071,-10.55826855,-22.70529556
825,0.912625849,8.113123894,-3.447232246,66.21435547,9.264162064,-33.86238861
826,1.287302256,9.481396675,-4.733101845,54.99671173,-3.824768543,-26.25393677
827,0.975132823,9.608337402,-5.604720592,60.32670212,-38.86226273,-8.508439064
828,0.237728789,7.665411949,-4.87498188,39.12701416,-31.91453362,-12.66863537
829,-0.495461643,7.226607323,-5.177348614,32.95246506,-28.2063942,-26.97943306
830,-0.875392795,7.534435272,-6.601656437,67.43536377,-39.95299911,-32.06457138
831,-0.591715991,7.317873001,-6.227675915,88.84693146,-38.78523636,-32.51037598
832,-0.495040983,6.769710541,-5.73310709,66.89891052,-16.34808159,-40.29427719
833,-0.922131538,6.194924355,-6.270286083,47.73624802,4.780083179,-42.4081459
834,-1.519995928,5.858077526,-6.157357216,43.30989456,19.0827179,-38.27604294
835,-1.324614882,6.427632809,-6.736545563,32.86717987,17.59493446,-33.63463974
836,-0.356521249,6.891306877,-6.998766899,13.27102566,1.097283602,-27.20350266
837,-0.92413193,7.247808456,-7.840411663,11.24929333,-25.17692757,-9.594559669
838,-1.246925235,6.4728508,-8.286456108,4.770206451,-28.6522541,2.493230581
839,-1.178209066,6.352633953,-7.656946659,-5.892074108,2.696191788,2.219910622
840,-1.072330594,5.929960251,-7.591572762,10.404953,18.23937798,5.948604107
841,-1.639161706,5.965278625,-7.190816402,33.10390854,32.99063873,8.096166611
842,-2.454711437,6.054724693,-5.423832417,29.63737297,38.19371796,-2.133311987
843,-2.153604746,6.084955692,-7.741771698,40.03927231,-12.26021099,-5.303398609
844,-0.692156374,5.283955574,-6.74993372,43.67959595,-6.42794466,-20.8457222
845,-0.650189698,4.331278324,-6.375884533,54.36647797,0.932104051,-33.04850006
846,-1.945996284,4.41580677,-7.661984444,85.8731308,-18.9719429,-33.56425858
847,-2.511636496,3.547890186,-8.434631348,97.6320343,-36.96130753,-33.96701431
848,-2.676710129,2.527064562,-7.725374699,101.0024414,-30.3146534,-38.59204865
